,Position,Driver,Car,Time
12,1,Ayrton Senna,McLaren Honda,1:27.148
11,2,Alain Prost,McLaren Honda,1:27.919
1,3,Nelson Piquet,Lotus Honda,1:30.500
19,4,Alessandro Nannini,Benetton Ford,1:30.590
28,5,Gerhard Berger,Ferrari,1:30.683
6,6,Riccardo Patrese,Williams Judd,1:30.952
18,7,Eddie  Cheever,Arrows Megatron,1:31.300
20,8,Thierry Boutsen,Benetton Ford,1:31.414
16,9,Ivan Capelli,March Judd,1:31.519
27,10,Michele Alboreto,Ferrari,1:31.520
5,11,Nigel Mansell,Williams Judd,1:31.635
2,12,Satoru Nakajima,Lotus Honda,1:31.647
14,13,Philippe Streiff,AGS Ford,1:32.013
17,14,Derek Warwick,Arrows Megatron,1:32.483
30,15,Philippe Alliot,Lola Ford,1:32.712
22,16,Andrea de Cesaris,Rial Ford,1:33.037
31,17,Gabriele Tarquini,Coloni Ford,1:33.236
24,18,Luis Perez-Sala,Minardi Ford,1:33.239
29,19,Yannick Dalmas,Lola Ford,1:33.374
15,20,Mauricio Gugelmin,March Judd,1:33.448
4,21,Julian Bailey,Tyrrell Ford,1:33.874
23,22,Adrian Campos,Minardi Ford,1:33.903
3,23,Jonathan  Palmer,Tyrrell Ford,1:33.972
36,24,Alex Caffi,Dallara Ford,1:34.204
9,25,Piercarlo Ghinzani,Zakspeed,1:34.567
33,26,Stefano Modena,Euro Brun Ford,1:34.782
32,27,Oscar Larrauri,Euro Brun Ford,1:35.077
26,28,Stefan Johansson,Ligier Judd,1:35.654
25,29,Rene Arnoux,Ligier Judd,1:36.123
10,30,Bernd Schneider,Zakspeed,1:36.218
