,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:29.272
12,2,Ayrton Senna,McLaren Honda,+1.865s
28,3,Gerhard Berger,Ferrari,+1.874s
27,4,Michele Alboreto,Ferrari,+2.429s
1,5,Nelson Piquet,Lotus Honda,+2.462s
18,6,Eddie  Cheever,Arrows Megatron,+2.713s
6,7,Riccardo Patrese,Williams Judd,+2.816s
19,8,Alessandro Nannini,Benetton Ford,+2.834s
14,9,Philippe Streiff,AGS Ford,+3.567s
15,10,Mauricio Gugelmin,March Judd,+3.804s
29,11,Yannick Dalmas,Lola Ford,+3.910s
2,12,Satoru Nakajima,Lotus Honda,+3.933s
5,13,Nigel Mansell,Williams Judd,+3.956s
17,14,Derek Warwick,Arrows Megatron,+4.315s
30,15,Philippe Alliot,Lola Ford,+4.356s
31,16,Gabriele Tarquini,Coloni Ford,+4.366s
24,17,Luis Perez-Sala,Minardi Ford,+4.677s
20,18,Thierry Boutsen,Benetton Ford,+4.743s
16,19,Ivan Capelli,March Judd,+5.065s
3,20,Jonathan  Palmer,Tyrrell Ford,+5.136s
25,21,Rene Arnoux,Ligier Judd,+5.150s
33,22,Stefano Modena,Euro Brun Ford,+5.181s
32,23,Oscar Larrauri,Euro Brun Ford,+5.185s
4,24,Julian Bailey,Tyrrell Ford,+5.871s
22,25,Andrea de Cesaris,Rial Ford,+6.010s
23,26,Adrian Campos,Minardi Ford,+6.269s
26,27,Stefan Johansson,Ligier Judd,+6.479s
36,28,Alex Caffi,Dallara Ford,+7.699s
10,29,Bernd Schneider,Zakspeed,+7.886s
9,30,Piercarlo Ghinzani,Zakspeed,+8.029s
