,Position,Driver,Car,Lap,Time
11,1,Alain Prost,McLaren Honda,53,1:29.685
12,2,Ayrton Senna,McLaren Honda,56,1:29.815
28,3,Gerhard Berger,Ferrari,56,1:31.394
27,4,Michele Alboreto,Ferrari,50,1:31.864
18,5,Eddie  Cheever,Arrows Megatron,49,1:32.017
19,6,Alessandro Nannini,Benetton Ford,57,1:32.034
20,7,Thierry Boutsen,Benetton Ford,55,1:32.317
5,8,Nigel Mansell,Williams Judd,35,1:32.372
1,9,Nelson Piquet,Lotus Honda,57,1:32.414
6,10,Riccardo Patrese,Williams Judd,32,1:32.758
30,11,Philippe Alliot,Lola Ford,56,1:32.863
2,12,Satoru Nakajima,Lotus Honda,58,1:33.209
33,13,Stefano Modena,Euro Brun Ford,49,1:33.214
29,14,Yannick Dalmas,Lola Ford,56,1:33.623
3,15,Jonathan  Palmer,Tyrrell Ford,54,1:33.660
15,16,Mauricio Gugelmin,March Judd,55,1:33.890
24,17,Luis Perez-Sala,Minardi Ford,57,1:34.014
17,18,Derek Warwick,Arrows Megatron,41,1:34.056
14,19,Philippe Streiff,AGS Ford,41,1:34.226
4,20,Julian Bailey,Tyrrell Ford,48,1:35.288
31,21,Gabriele Tarquini,Coloni Ford,31,1:35.395
23,22,Adrian Campos,Minardi Ford,39,1:35.708
9,23,Piercarlo Ghinzani,Zakspeed,14,1:36.122
36,24,Alex Caffi,Dallara Ford,17,1:36.285
16,25,Ivan Capelli,March Judd,2,1:37.842
