,Position,Driver,Car,Lap,Time
5,1,Nelson Piquet,Brabham BMW,4,1:39.829
6,2,Riccardo Patrese,Brabham BMW,4,1:40.512
1,3,Keke Rosberg,,3,1:40.523
8,4,Niki Lauda,McLaren TAG,16,1:41.163
7,5,John Watson,McLaren TAG,20,1:41.547
16,6,Eddie  Cheever,Renault,22,1:41.951
2,7,Jacques Laffite,Williams Honda,49,1:42.343
15,8,Alain Prost,Renault,4,1:42.636
29,9,Marc Surer,Arrows Ford,22,1:42.657
33,10,Roberto Guerrero,Theodore Ford,49,1:42.849
27,11,Patrick Tambay,Ferrari,30,1:42.940
35,12,Derek Warwick,Toleman Hart,44,1:43.037
12,13,Nigel Mansell,Lotus Ford,41,1:43.159
25,14,Jean-Pierre Jarier,Ligier Ford,4,1:43.193
34,15,Johnny Cecotto,Theodore Ford,48,1:43.241
3,16,Michele Alboreto,Tyrrell Ford,4,1:43.304
28,17,Rene Arnoux,Ferrari,5,1:43.426
23,18,Mauro Baldi,Alfa Romeo,3,1:43.514
30,19,Chico Serra,Arrows Ford,58,1:43.900
26,20,Raul Boesel,Ligier Ford,6,1:44.027
36,21,Bruno Giacomelli,Toleman Hart,3,1:44.178
11,22,Elio de Angelis,,7,1:44.367
31,23,Corrado Fabi,Osella Ford,12,1:44.476
4,24,Danny Sullivan,Tyrrell Ford,16,1:44.697
9,25,Manfred Winkelhock,ATS BMW,46,1:45.355
17,26,Eliseo Salazar,RAM Ford,42,1:45.681
