,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Michael Schumacher,Ferrari,55,1:28.005,218.360
6,2,Felipe Massa,Ferrari,38,1:28.123,218.067
1,3,Fernando Alonso,Renault,38,1:28.245,217.766
12,4,Jenson Button,Honda,58,1:28.474,217.202
2,5,Giancarlo Fisichella,Renault,29,1:28.546,217.026
11,6,Rubens Barrichello,Honda,26,1:28.733,216.568
4,7,Pedro de la Rosa,McLaren Mercedes,54,1:28.959,216.018
7,8,Ralf Schumacher,Toyota,58,1:29.084,215.715
17,9,Robert Kubica,Sauber BMW,34,1:29.723,214.179
21,10,Scott Speed,STR Cosworth,43,1:29.933,213.679
15,11,Christian Klien,RBR Ferrari,26,1:30.025,213.460
14,12,David Coulthard,RBR Ferrari,24,1:30.026,213.458
8,13,Jarno Trulli,Toyota,24,1:30.048,213.406
10,14,Nico Rosberg,Williams Cosworth,21,1:30.071,213.351
9,15,Mark Webber,Williams Cosworth,50,1:30.088,213.311
16,16,Nick Heidfeld,Sauber BMW,56,1:30.335,212.728
19,17,Christijan Albers,MF1 Toyota,35,1:30.403,212.568
22,18,Takuma Sato,Super Aguri Honda,33,1:31.814,209.301
20,19,Vitantonio Liuzzi,STR Cosworth,12,1:32.148,208.542
23,20,Sakon Yamamoto,Super Aguri Honda,12,1:32.337,208.115
