,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:13.306
3,2,Juan Pablo Montoya,Williams BMW,1:13.668
6,3,Kimi Räikkönen,McLaren Mercedes,1:13.690
5,4,David Coulthard,McLaren Mercedes,1:13.821
8,5,Fernando Alonso,Renault,1:13.874
7,6,Jarno Trulli,Renault,1:14.134
2,7,Rubens Barrichello,Ferrari,1:14.278
10,8,Takuma Sato,BAR Honda,1:14.287
17,9,Olivier Panis,Toyota,1:14.368
4,10,Antonio Pizzonia,Williams BMW,1:14.556
14,11,Mark Webber,Jaguar Cosworth,1:14.802
15,12,Christian Klien,Jaguar Cosworth,1:15.011
9,13,Jenson Button,BAR Honda,1:13.674
11,14,Giancarlo Fisichella,Sauber Petronas,1:15.395
16,15,Cristiano da Matta,Toyota,1:15.454
12,16,Felipe Massa,Sauber Petronas,1:15.616
19,17,Giorgio Pantano,Jordan Ford,1:16.192
18,18,Nick Heidfeld,Jordan Ford,1:16.310
20,19,Gianmaria Bruni,Minardi Cosworth,1:18.055
21,20,Zsolt Baumgartner,Minardi Cosworth,1:18.400
