,Position,Driver,Car,Laps,Time,Points
1,1,Fernando Alonso,Renault,53,1:23:53.413,10
6,2,Felipe Massa,Ferrari,53,+16.151s,8
2,3,Giancarlo Fisichella,Renault,53,+23.953s,6
12,4,Jenson Button,Honda,53,+34.101s,5
3,5,Kimi Räikkönen,McLaren Mercedes,53,+43.596s,4
8,6,Jarno Trulli,Toyota,53,+46.717s,3
7,7,Ralf Schumacher,Toyota,53,+48.869s,2
16,8,Nick Heidfeld,Sauber BMW,53,+76.095s,1
17,9,Robert Kubica,Sauber BMW,53,+76.932s,0
10,10,Nico Rosberg,Williams Cosworth,52,+1 lap,0
4,11,Pedro de la Rosa,McLaren Mercedes,52,+1 lap,0
11,12,Rubens Barrichello,Honda,52,+1 lap,0
15,13,Robert Doornbos,RBR Ferrari,52,+1 lap,0
20,14,Vitantonio Liuzzi,STR Cosworth,52,+1 lap,0
22,15,Takuma Sato,Super Aguri Honda,52,+1 lap,0
18,16,Tiago Monteiro,MF1 Toyota,51,+2 laps,0
23,17,Sakon Yamamoto,Super Aguri Honda,50,+3 laps,0
21,18,Scott Speed,STR Cosworth,48,DNF,0
9,NC,Mark Webber,Williams Cosworth,39,DNF,0
5,NC,Michael Schumacher,Ferrari,36,DNF,0
14,NC,David Coulthard,RBR Ferrari,35,DNF,0
19,NC,Christijan Albers,MF1 Toyota,20,DNF,0
