,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Michael Schumacher,Ferrari,56,1:12.719,207.527
6,2,Felipe Massa,Ferrari,29,1:12.954,206.859
2,3,Giancarlo Fisichella,Renault,28,1:13.131,206.358
7,4,Ralf Schumacher,Toyota,29,1:13.225,206.093
8,5,Jarno Trulli,Toyota,37,1:13.269,205.969
1,6,Fernando Alonso,Renault,72,1:13.316,205.837
11,7,Rubens Barrichello,Honda,47,1:13.611,205.012
17,8,Jacques Villeneuve,Sauber BMW,19,1:13.934,204.117
20,9,Vitantonio Liuzzi,STR Cosworth,41,1:14.286,203.149
10,10,Nico Rosberg,Williams Cosworth,42,1:14.707,202.005
14,11,David Coulthard,RBR Ferrari,33,1:14.730,201.942
19,12,Christijan Albers,MF1 Toyota,34,1:14.731,201.940
18,13,Tiago Monteiro,MF1 Toyota,9,1:22.036,183.958
22,14,Takuma Sato,Super Aguri Honda,6,1:43.802,145.384
12,15,Jenson Button,Honda,2,2:04.692,121.027
