,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:22.097
6,2,Riccardo Patrese,Williams Renault,+1.166s
28,3,Jean Alesi,Ferrari,+2.418s
33,4,Andrea de Cesaris,Jordan Ford,+2.577s
22,5,Jyrki Jarvilehto,Dallara Judd,+2.714s
2,6,Gerhard Berger,McLaren Honda,+2.843s
1,7,Ayrton Senna,McLaren Honda,+3.120s
4,8,Stefano Modena,Tyrrell Honda,+3.294s
8,9,Mark Blundell,Brabham Yamaha,+3.559s
21,10,Emanuele Pirro,Dallara Judd,+3.590s
30,11,Aguri Suzuki,Lola Ford,+3.963s
12,12,Johnny Herbert,Lotus Judd,+3.973s
11,13,Mika Hakkinen,Lotus Judd,+4.060s
7,14,Martin Brundle,Brabham Yamaha,+4.121s
19,15,Roberto Moreno,Benetton Ford,+4.176s
3,16,Satoru Nakajima,Tyrrell Honda,+4.242s
15,17,Mauricio Gugelmin,Leyton House Ilmor,+4.346s
27,18,Alain Prost,Ferrari,+4.360s
16,19,Ivan Capelli,Leyton House Ilmor,+4.439s
29,20,Eric Bernard,Lola Ford,+4.937s
25,21,Thierry Boutsen,Ligier Lamborghini,+5.010s
20,22,Nelson Piquet,Benetton Ford,+5.032s
32,23,Bertrand Gachot,Jordan Ford,+5.107s
9,24,Michele Alboreto,Footwork Porsche,+5.455s
26,25,Erik Comas,Ligier Lamborghini,+5.649s
23,26,Pierluigi Martini,Minardi Ferrari,+6.410s
10,27,Stefan Johansson,Footwork Porsche,+6.964s
24,28,Gianni Morbidelli,Minardi Ferrari,+7.937s
17,29,Gabriele Tarquini,AGS Ford,+8.466s
18,30,Fabrizio Barbazza,AGS Ford,+9.876s
