,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:22.327
6,2,Riccardo Patrese,Williams Renault,+1.187s
1,3,Ayrton Senna,McLaren Honda,+1.233s
28,4,Jean Alesi,Ferrari,+1.258s
27,5,Alain Prost,Ferrari,+1.477s
2,6,Gerhard Berger,McLaren Honda,+1.880s
22,7,Jyrki Jarvilehto,Dallara Judd,+2.205s
19,8,Roberto Moreno,Benetton Ford,+2.248s
20,9,Nelson Piquet,Benetton Ford,+2.263s
32,10,Bertrand Gachot,Jordan Ford,+2.407s
33,11,Andrea de Cesaris,Jordan Ford,+2.751s
3,12,Satoru Nakajima,Tyrrell Honda,+2.857s
16,13,Ivan Capelli,Leyton House Ilmor,+3.193s
15,14,Mauricio Gugelmin,Leyton House Ilmor,+3.325s
7,15,Martin Brundle,Brabham Yamaha,+3.422s
24,16,Gianni Morbidelli,Minardi Ferrari,+3.971s
8,17,Mark Blundell,Brabham Yamaha,+3.989s
29,18,Eric Bernard,Lola Ford,+4.042s
12,19,Johnny Herbert,Lotus Judd,+4.148s
30,20,Aguri Suzuki,Lola Ford,+4.153s
4,21,Stefano Modena,Tyrrell Honda,+4.331s
23,22,Pierluigi Martini,Minardi Ferrari,+4.931s
21,23,Emanuele Pirro,Dallara Judd,+5.053s
25,24,Thierry Boutsen,Ligier Lamborghini,+5.318s
26,25,Erik Comas,Ligier Lamborghini,+5.496s
17,26,Gabriele Tarquini,AGS Ford,+5.706s
9,27,Michele Alboreto,Footwork Porsche,+5.761s
18,28,Fabrizio Barbazza,AGS Ford,+7.620s
10,29,Stefan Johansson,Footwork Porsche,+7.817s
11,30,Mika Hakkinen,Lotus Judd,+9.039s
