,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:17.092,8
7,2,David Coulthard,McLaren Mercedes,1:17.757,9
2,3,Heinz-Harald Frentzen,Williams Mecachrome,1:18.109,12
3,4,Michael Schumacher,Ferrari,1:18.250,12
6,5,Alexander Wurz,Benetton Playlife,1:18.261,12
4,6,Eddie Irvine,Ferrari,1:18.449,12
5,7,Giancarlo Fisichella,Benetton Playlife,1:18.652,9
10,8,Ralf Schumacher,Jordan Mugen Honda,1:18.735,12
11,9,Olivier Panis,Prost Peugeot,1:18.753,12
1,10,Jacques Villeneuve,Williams Mecachrome,1:18.761,11
9,11,Damon Hill,Jordan Mugen Honda,1:18.988,12
12,12,Jarno Trulli,Prost Peugeot,1:19.069,12
18,13,Rubens Barrichello,Stewart Ford,1:19.344,12
15,14,Johnny Herbert,Sauber Petronas,1:19.375,12
14,15,Jean Alesi,Sauber Petronas,1:19.449,12
19,16,Jan Magnussen,Stewart Ford,1:19.644,12
21,17,Toranosuke Takagi,Tyrrell Ford,1:20.203,11
22,18,Shinji Nakano,Minardi Ford,1:20.390,12
23,19,Esteban Tuero,Minardi Ford,1:20.459,11
17,20,Mika Salo,Arrows,1:20.481,12
20,21,Ricardo Rosset,Tyrrell Ford,1:20.748,11
16,22,Pedro Diniz,Arrows,1:20.847,12
