,Position,Driver,Car,Time
4,1,Lewis Hamilton,McLaren Mercedes,1:20.953
10,2,Romain Grosjean,Lotus Renault,1:21.366
1,3,Sebastian Vettel,Red Bull Racing Renault,1:21.416
3,4,Jenson Button,McLaren Mercedes,1:21.583
9,5,Kimi Räikkönen,Lotus Renault,1:21.730
5,6,Fernando Alonso,Ferrari,1:21.844
6,7,Felipe Massa,Ferrari,1:21.900
18,8,Pastor Maldonado,Williams Renault,1:21.939
19,9,Bruno Senna,Williams Renault,1:22.343
12,10,Nico Hulkenberg,Force India Mercedes,1:22.847
2,11,Mark Webber,Red Bull Racing Renault,1:21.715
11,12,Paul di Resta,Force India Mercedes,1:21.813
8,13,Nico Rosberg,Mercedes,1:21.895
15,14,Sergio Perez,Sauber Ferrari,1:21.895
14,15,Kamui Kobayashi,Sauber Ferrari,1:22.300
17,16,Jean-Eric Vergne,STR Ferrari,1:22.380
7,17,Michael Schumacher,Mercedes,1:22.723
16,18,Daniel Ricciardo,STR Ferrari,1:23.250
20,19,Heikki Kovalainen,Caterham Renault,1:23.576
21,20,Vitaly Petrov,Caterham Renault,1:24.167
25,21,Charles Pic,Marussia Cosworth,1:25.244
24,22,Timo Glock,Marussia Cosworth,1:25.476
22,23,Pedro de la Rosa,HRT Cosworth,1:25.916
23,24,Narain Karthikeyan,HRT Cosworth,1:26.178
