,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:14.117
6,2,Riccardo Patrese,Williams Renault,+0.741s
1,3,Ayrton Senna,McLaren Honda,+0.807s
19,4,Michael Schumacher,Benetton Ford,+1.061s
2,5,Gerhard Berger,McLaren Honda,+1.474s
27,6,Jean Alesi,Ferrari,+1.830s
20,7,Martin Brundle,Benetton Ford,+2.248s
26,8,Erik Comas,Ligier Renault,+2.316s
28,9,Ivan Capelli,Ferrari,+2.581s
24,10,Gianni Morbidelli,Minardi Lamborghini,+2.583s
25,11,Thierry Boutsen,Ligier Renault,+2.738s
12,12,Johnny Herbert,Lotus Ford,+3.039s
30,13,Ukyo Katayama,Venturi Lamborghini,+3.341s
21,14,Jyrki Jarvilehto,Dallara Ferrari,+3.451s
33,15,Mauricio Gugelmin,Jordan Yamaha,+3.604s
9,16,Michele Alboreto,Footwork Mugen Honda,+3.641s
16,17,Karl Wendlinger,March Ilmor,+3.645s
3,18,Olivier Grouillard,Tyrrell Ilmor,+3.682s
4,19,Andrea de Cesaris,Tyrrell Ilmor,+3.750s
10,20,Aguri Suzuki,Footwork Mugen Honda,+3.798s
32,21,Stefano Modena,Jordan Yamaha,+4.293s
22,22,Pierluigi Martini,Dallara Ferrari,+4.792s
29,23,Bertrand Gachot,Venturi Lamborghini,+4.894s
23,24,Christian Fittipaldi,Minardi Lamborghini,+4.964s
11,25,Mika Hakkinen,Lotus Ford,+5.080s
17,26,Paul Belmondo,March Ilmor,+5.462s
7,27,Eric van de Poele,Brabham Judd,+5.567s
14,28,Andrea Chiesa,Fondmetal Ford,+5.594s
8,29,Damon Hill,Brabham Judd,+6.585s
15,30,Gabriele Tarquini,Fondmetal Ford,+8.572s
