,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Renault,1:13.864
6,2,Riccardo Patrese,Williams Renault,1:14.332
1,3,Ayrton Senna,McLaren Honda,1:15.199
2,4,Gerhard Berger,McLaren Honda,1:15.316
19,5,Michael Schumacher,Benetton Ford,1:15.569
27,6,Jean Alesi,Ferrari,1:16.118
20,7,Martin Brundle,Benetton Ford,1:16.151
28,8,Ivan Capelli,Ferrari,1:16.443
25,9,Thierry Boutsen,Ligier Renault,1:16.806
26,10,Erik Comas,Ligier Renault,1:16.938
11,11,Mika Hakkinen,Lotus Ford,1:16.999
12,12,Johnny Herbert,Lotus Ford,1:17.257
29,13,Bertrand Gachot,Venturi Lamborghini,1:17.442
9,14,Michele Alboreto,Footwork Mugen Honda,1:17.508
10,15,Aguri Suzuki,Footwork Mugen Honda,1:17.548
24,16,Gianni Morbidelli,Minardi Lamborghini,1:17.667
21,17,Jyrki Jarvilehto,Dallara Ferrari,1:17.677
30,18,Ukyo Katayama,Venturi Lamborghini,1:17.709
4,19,Andrea de Cesaris,Tyrrell Ilmor,1:17.868
32,20,Stefano Modena,Jordan Yamaha,1:17.901
16,21,Karl Wendlinger,March Ilmor,1:17.937
3,22,Olivier Grouillard,Tyrrell Ilmor,1:17.989
15,23,Gabriele Tarquini,Fondmetal Ford,1:17.993
33,24,Mauricio Gugelmin,Jordan Yamaha,1:18.337
22,25,Pierluigi Martini,Dallara Ferrari,1:18.586
14,26,Andrea Chiesa,Fondmetal Ford,1:18.701
17,27,Paul Belmondo,March Ilmor,1:19.354
23,28,Christian Fittipaldi,Minardi Lamborghini,1:20.062
7,29,Eric van de Poele,Brabham Judd,1:20.139
8,30,Damon Hill,Brabham Judd,1:21.412
