,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,37,1:17.070
6,2,Riccardo Patrese,Williams Renault,38,1:18.006
27,3,Jean Alesi,Ferrari,44,1:18.431
11,4,Mika Hakkinen,Lotus Ford,36,1:18.526
20,5,Martin Brundle,Benetton Ford,34,1:18.636
26,6,Erik Comas,Ligier Renault,41,1:18.660
30,7,Ukyo Katayama,Venturi Lamborghini,43,1:18.714
25,8,Thierry Boutsen,Ligier Renault,43,1:19.139
12,9,Johnny Herbert,Lotus Ford,41,1:19.252
28,10,Ivan Capelli,Ferrari,36,1:19.324
4,11,Andrea de Cesaris,Tyrrell Ilmor,43,1:19.525
9,12,Michele Alboreto,Footwork Mugen Honda,36,1:19.542
22,13,Pierluigi Martini,Dallara Ferrari,41,1:19.742
19,14,Michael Schumacher,Benetton Ford,6,1:19.939
24,15,Gianni Morbidelli,Minardi Lamborghini,43,1:19.944
21,16,Jyrki Jarvilehto,Dallara Ferrari,42,1:20.133
2,17,Gerhard Berger,McLaren Honda,10,1:20.213
3,18,Olivier Grouillard,Tyrrell Ilmor,40,1:20.222
10,19,Aguri Suzuki,Footwork Mugen Honda,13,1:20.965
32,20,Stefano Modena,Jordan Yamaha,24,1:21.070
16,21,Karl Wendlinger,March Ilmor,31,1:21.074
15,22,Gabriele Tarquini,Fondmetal Ford,6,1:23.438
