,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:15.423
6,2,Riccardo Patrese,Williams Renault,+0.489s
1,3,Ayrton Senna,McLaren Honda,+0.846s
2,4,Gerhard Berger,McLaren Honda,+1.469s
19,5,Michael Schumacher,Benetton Ford,+1.495s
27,6,Jean Alesi,Ferrari,+1.544s
20,7,Martin Brundle,Benetton Ford,+1.567s
25,8,Thierry Boutsen,Ligier Renault,+2.516s
26,9,Erik Comas,Ligier Renault,+2.782s
32,10,Stefano Modena,Jordan Yamaha,+2.811s
29,11,Bertrand Gachot,Venturi Lamborghini,+3.354s
23,12,Christian Fittipaldi,Minardi Lamborghini,+3.376s
24,13,Gianni Morbidelli,Minardi Lamborghini,+3.516s
22,14,Pierluigi Martini,Dallara Ferrari,+3.545s
10,15,Aguri Suzuki,Footwork Mugen Honda,+3.593s
33,16,Mauricio Gugelmin,Jordan Yamaha,+3.627s
16,17,Karl Wendlinger,March Ilmor,+3.789s
11,18,Mika Hakkinen,Lotus Ford,+3.816s
9,19,Michele Alboreto,Footwork Mugen Honda,+3.916s
4,20,Andrea de Cesaris,Tyrrell Ilmor,+3.981s
28,21,Ivan Capelli,Ferrari,+4.025s
3,22,Olivier Grouillard,Tyrrell Ilmor,+4.045s
30,23,Ukyo Katayama,Venturi Lamborghini,+4.282s
21,24,Jyrki Jarvilehto,Dallara Ferrari,+4.452s
15,25,Gabriele Tarquini,Fondmetal Ford,+4.459s
17,26,Paul Belmondo,March Ilmor,+4.531s
12,27,Johnny Herbert,Lotus Ford,+4.921s
14,28,Andrea Chiesa,Fondmetal Ford,+5.313s
7,29,Eric van de Poele,Brabham Judd,+6.298s
8,30,Damon Hill,Brabham Judd,+8.162s
