,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:39.605,202.941
2,2,Mark Webber,Red Bull Racing Renault,55,1:40.294,201.547
3,3,Lewis Hamilton,McLaren Mercedes,54,1:40.459,201.216
18,4,Sebastien Buemi,STR Ferrari,50,1:40.537,201.060
6,5,Felipe Massa,Ferrari,51,1:40.541,201.052
5,6,Fernando Alonso,Ferrari,41,1:40.547,201.040
4,7,Jenson Button,McLaren Mercedes,55,1:40.709,200.716
19,8,Jaime Alguersuari,STR Ferrari,55,1:40.940,200.257
8,9,Nico Rosberg,Mercedes,49,1:41.770,198.624
14,10,Adrian Sutil,Force India Mercedes,49,1:42.014,198.149
16,11,Kamui Kobayashi,Sauber Ferrari,45,1:42.080,198.021
15,12,Paul di Resta,Force India Mercedes,50,1:42.102,197.978
11,13,Rubens Barrichello,Williams Cosworth,54,1:42.371,197.458
17,14,Sergio Perez,Sauber Ferrari,39,1:42.425,197.354
20,15,Heikki Kovalainen,Lotus Renault,52,1:42.456,197.294
9,16,Bruno Senna,Renault,41,1:42.549,197.115
21,17,Jarno Trulli,Lotus Renault,46,1:43.009,196.235
24,18,Timo Glock,Virgin Cosworth,53,1:44.536,193.368
12,19,Pastor Maldonado,Williams Cosworth,26,1:44.689,193.086
25,20,Jerome d'Ambrosio,Virgin Cosworth,53,1:44.746,192.981
22,21,Daniel Ricciardo,HRT Cosworth,53,1:44.870,192.752
7,22,Michael Schumacher,Mercedes,13,1:45.327,191.916
10,23,Vitaly Petrov,Renault,10,1:45.469,191.658
23,24,Vitantonio Liuzzi,HRT Cosworth,45,1:46.173,190.387
