,Position,Driver,Car,Time
3,1,Lewis Hamilton,McLaren Mercedes,1:35.820
1,2,Sebastian Vettel,Red Bull Racing Renault,1:36.042
4,3,Jenson Button,McLaren Mercedes,1:36.126
2,4,Mark Webber,Red Bull Racing Renault,1:36.468
6,5,Felipe Massa,Ferrari,1:36.831
5,6,Fernando Alonso,Ferrari,1:36.980
8,7,Nico Rosberg,Mercedes,1:37.754
10,8,Vitaly Petrov,Renault,1:38.124
15,9,Paul di Resta,Force India Mercedes,
14,10,Adrian Sutil,Force India Mercedes,
19,11,Jaime Alguersuari,STR Ferrari,1:38.315
7,12,Michael Schumacher,Mercedes,1:38.354
18,13,Sebastien Buemi,STR Ferrari,1:38.508
16,14,Kamui Kobayashi,Sauber Ferrari,1:38.775
9,15,Bruno Senna,Renault,1:38.791
12,16,Pastor Maldonado,Williams Cosworth,1:39.189
17,17,Sergio Perez,Sauber Ferrari,1:39.443
11,18,Rubens Barrichello,Williams Cosworth,1:39.538
20,19,Heikki Kovalainen,Lotus Renault,1:40.522
21,20,Jarno Trulli,Lotus Renault,1:41.101
24,21,Timo Glock,Virgin Cosworth,1:42.091
25,22,Jerome d'Ambrosio,Virgin Cosworth,1:43.483
23,23,Vitantonio Liuzzi,HRT Cosworth,1:43.758
22,24,Daniel Ricciardo,HRT Cosworth,
