,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:38:01.994,25
3,2,Lewis Hamilton,McLaren Mercedes,55,+12.019s,18
2,3,Mark Webber,Red Bull Racing Renault,55,+12.477s,15
4,4,Jenson Button,McLaren Mercedes,55,+14.694s,12
5,5,Fernando Alonso,Ferrari,55,+15.689s,10
6,6,Felipe Massa,Ferrari,55,+25.133s,8
19,7,Jaime Alguersuari,STR Ferrari,55,+49.538s,6
8,8,Nico Rosberg,Mercedes,55,+54.053s,4
18,9,Sebastien Buemi,STR Ferrari,55,+62.762s,2
15,10,Paul di Resta,Force India Mercedes,55,+68.602s,1
14,11,Adrian Sutil,Force India Mercedes,55,+71.229s,0
11,12,Rubens Barrichello,Williams Cosworth,55,+93.068s,0
9,13,Bruno Senna,Renault,54,+1 lap,0
20,14,Heikki Kovalainen,Lotus Renault,54,+1 lap,0
16,15,Kamui Kobayashi,Sauber Ferrari,54,+1 lap,0
17,16,Sergio Perez,Sauber Ferrari,54,+1 lap,0
21,17,Jarno Trulli,Lotus Renault,54,+1 lap,0
24,18,Timo Glock,Virgin Cosworth,54,+1 lap,0
22,19,Daniel Ricciardo,HRT Cosworth,54,+1 lap,0
25,20,Jerome d'Ambrosio,Virgin Cosworth,54,+1 lap,0
23,21,Vitantonio Liuzzi,HRT Cosworth,52,+3 laps,0
12,NC,Pastor Maldonado,Williams Cosworth,30,DNF,0
10,NC,Vitaly Petrov,Renault,16,DNF,0
7,NC,Michael Schumacher,Mercedes,15,DNF,0
