,Position,Driver,Car,Time / Gap,Laps
3,1,Lewis Hamilton,McLaren Mercedes,1:50.828,26
4,2,Jenson Button,McLaren Mercedes,+0.104s,19
1,3,Sebastian Vettel,Red Bull Racing Renault,+1.818s,30
5,4,Fernando Alonso,Ferrari,+1.946s,25
2,5,Mark Webber,Red Bull Racing Renault,+2.221s,27
19,6,Jaime Alguersuari,STR Ferrari,+2.574s,25
6,7,Felipe Massa,Ferrari,+2.879s,24
8,8,Nico Rosberg,Mercedes,+3.086s,18
18,9,Sebastien Buemi,STR Ferrari,+3.120s,27
15,10,Paul di Resta,Force India Mercedes,+3.129s,32
10,11,Vitaly Petrov,Renault,+3.372s,26
14,12,Adrian Sutil,Force India Mercedes,+3.564s,26
11,13,Rubens Barrichello,Williams Cosworth,+4.003s,30
7,14,Michael Schumacher,Mercedes,+4.137s,21
9,15,Bruno Senna,Renault,+4.359s,28
17,16,Sergio Perez,Sauber Ferrari,+4.375s,24
16,17,Kamui Kobayashi,Sauber Ferrari,+4.716s,23
12,18,Pastor Maldonado,Williams Cosworth,+5.239s,22
20,19,Heikki Kovalainen,Lotus Renault,+5.841s,20
21,20,Jarno Trulli,Lotus Renault,+6.345s,19
24,21,Timo Glock,Virgin Cosworth,+7.441s,25
25,22,Jerome d'Ambrosio,Virgin Cosworth,+8.630s,26
22,23,Daniel Ricciardo,HRT Cosworth,+9.130s,19
23,24,Vitantonio Liuzzi,HRT Cosworth,+9.337s,20
