,Position,Driver,Car,Time
8,1,Carlos Pace,Brabham Ford,1:16.410
7,2,Carlos Reutemann,Brabham Ford,1:16.480
3,3,Jody Scheckter,Tyrrell Ford,1:16.640
12,4,Niki Lauda,Ferrari,1:16.830
4,5,Patrick Depailler,Tyrrell Ford,1:16.830
27,6,Mario Andretti,Parnelli Ford,1:16.890
9,7,Vittorio Brambilla,March Ford,1:17.050
5,8,Ronnie Peterson,Lotus Ford,1:17.140
11,9,Clay Regazzoni,Ferrari,1:17.160
18,10,John Watson,Surtees Ford,1:17.170
1,11,Emerson Fittipaldi,McLaren Ford,1:17.220
24,12,James Hunt,Hesketh Ford,1:17.300
17,13,Jean-Pierre Jarier,Shadow Matra,1:17.320
23,14,Rolf Stommelen,Lola Ford,1:17.470
20,15,Arturo Merzario,Frank Williams Racing Cars/Williams,1:17.530
2,16,Jochen Mass,McLaren Ford,1:17.790
32,17,Ian Scheckter,Tyrrell Ford,1:18.010
28,18,Mark Donohue,March Ford,1:18.280
16,19,Tom Pryce,Shadow Matra,1:18.360
31,20,Dave Charlton,McLaren Ford,1:18.510
6,21,Jacky Ickx,Lotus Ford,1:18.680
33,22,Eddie  Keizan,Lotus Ford,1:19.010
21,23,Jacques Laffite,Frank Williams Racing Cars/Williams,1:19.150
14,24,Bob Evans,BRM,1:19.170
34,25,Guy   Tunmer,Lotus Ford,1:19.520
10,26,Lella Lombardi,March Ford,1:19.680
30,27,Wilson Fittipaldi,Fittipaldi Ford,1:19.730
