,Position,Driver,Car,Time
22,1,Lewis Hamilton,McLaren Mercedes,1:18.404
1,2,Kimi Räikkönen,Ferrari,1:18.644
23,3,Heikki Kovalainen,McLaren Mercedes,1:18.821
5,4,Fernando Alonso,Renault,1:18.852
2,5,Felipe Massa,Ferrari,1:18.874
4,6,Robert Kubica,Sauber BMW,1:18.979
11,7,Jarno Trulli,Toyota,1:19.026
12,8,Timo Glock,Toyota,1:19.118
15,9,Sebastian Vettel,STR Ferrari,1:19.638
14,10,Sebastien Bourdais,STR Ferrari,1:20.167
9,11,David Coulthard,Red Bull Renault,1:18.187
6,12,Nelson Piquet,Renault,1:18.274
10,13,Mark Webber,Red Bull Renault,1:18.354
8,14,Kazuki Nakajima,Williams Toyota,1:18.594
7,15,Nico Rosberg,Williams Toyota,1:18.672
3,16,Nick Heidfeld,Sauber BMW,1:18.835
17,17,Rubens Barrichello,Honda,1:18.882
16,18,Jenson Button,Honda,1:19.100
20,19,Adrian Sutil,Force India Ferrari,1:19.163
21,20,Giancarlo Fisichella,Force India Ferrari,1:19.910
