,Position,Driver,Car,Q1,Q2,Q3,Laps
22,1,Lewis Hamilton,McLaren Mercedes,1:18.071,1:17.462,1:18.404,15
1,2,Kimi Räikkönen,Ferrari,1:18.160,1:17.733,1:18.644,20
23,3,Heikki Kovalainen,McLaren Mercedes,1:18.220,1:17.360,1:18.821,22
5,4,Fernando Alonso,Renault,1:18.290,1:17.871,1:18.852,19
2,5,Felipe Massa,Ferrari,1:18.110,1:17.287,1:18.874,18
4,6,Robert Kubica,Sauber BMW,1:18.684,1:17.931,1:18.979,20
11,7,Jarno Trulli,Toyota,1:18.501,1:17.541,1:19.026,23
12,8,Timo Glock,Toyota,1:17.945,1:17.670,1:19.118,24
15,9,Sebastian Vettel,STR Ferrari,1:18.559,1:17.714,1:19.638,21
14,10,Sebastien Bourdais,STR Ferrari,1:18.593,1:18.102,1:20.167,20
9,11,David Coulthard,Red Bull Renault,1:18.303,1:18.187,,16
6,12,Nelson Piquet,Renault,1:18.300,1:18.274,,11
10,13,Mark Webber,Red Bull Renault,1:18.372,1:18.354,,13
8,14,Kazuki Nakajima,Williams Toyota,1:18.640,1:18.594,,16
7,15,Nico Rosberg,Williams Toyota,1:18.740,1:18.672,,16
3,16,Nick Heidfeld,Sauber BMW,1:18.835,,,9
17,17,Rubens Barrichello,Honda,1:18.882,,,9
16,18,Jenson Button,Honda,1:19.100,,,11
20,19,Adrian Sutil,Force India Ferrari,1:19.163,,,10
21,20,Giancarlo Fisichella,Force India Ferrari,1:19.910,,,10
