,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Felipe Massa,Ferrari,55,1:18.426,209.456
1,2,Kimi Räikkönen,Ferrari,66,1:18.995,207.947
5,3,Fernando Alonso,Renault,41,1:19.101,207.668
6,4,Nelson Piquet,Renault,54,1:19.199,207.411
23,5,Heikki Kovalainen,McLaren Mercedes,12,1:19.258,207.257
14,6,Sebastien Bourdais,STR Ferrari,49,1:19.262,207.246
4,7,Robert Kubica,Sauber BMW,16,1:19.292,207.168
3,8,Nick Heidfeld,Sauber BMW,67,1:19.461,206.727
11,9,Jarno Trulli,Toyota,18,1:19.524,206.564
7,10,Nico Rosberg,Williams Toyota,66,1:19.531,206.545
22,11,Lewis Hamilton,McLaren Mercedes,65,1:19.560,206.470
15,12,Sebastian Vettel,STR Ferrari,21,1:19.617,206.322
10,13,Mark Webber,Red Bull Renault,30,1:19.820,205.798
12,14,Timo Glock,Toyota,4,1:20.254,204.685
8,15,Kazuki Nakajima,Williams Toyota,32,1:20.364,204.404
17,16,Rubens Barrichello,Honda,66,1:20.575,203.869
16,17,Jenson Button,Honda,66,1:20.849,203.178
20,18,Adrian Sutil,Force India Ferrari,6,1:21.189,202.327
21,19,Giancarlo Fisichella,Force India Ferrari,20,1:21.577,201.365
