,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,RBR Renault,1:32.035,1:31.184,1:30.785,20
6,2,Mark Webber,RBR Renault,1:32.476,1:31.241,1:30.853,21
2,3,Lewis Hamilton,McLaren Mercedes,1:32.809,1:31.523,1:31.169,22
11,4,Robert Kubica,Renault,1:32.808,1:32.042,1:31.231,21
8,5,Fernando Alonso,Ferrari,1:32.555,1:31.819,1:31.352,26
1,6,Jenson Button,McLaren Mercedes,1:32.636,1:31.763,1:31.378,21
4,7,Nico Rosberg,Mercedes,1:32.238,1:31.886,1:31.494,22
9,8,Rubens Barrichello,Williams Cosworth,1:32.361,1:31.874,1:31.535,22
10,9,Nico Hulkenberg,Williams Cosworth,1:32.211,1:31.926,1:31.559,20
3,10,Michael Schumacher,Mercedes,1:32.513,1:32.073,1:31.846,21
22,11,Nick Heidfeld,Sauber Ferrari,1:33.011,1:32.187,,17
7,12,Felipe Massa,Ferrari,1:32.721,1:32.321,,20
12,13,Vitaly Petrov,Renault,1:32.849,1:32.422,,18
23,14,Kamui Kobayashi,Sauber Ferrari,1:32.783,1:32.427,,15
14,15,Adrian Sutil,Force India Mercedes,1:33.186,1:32.659,,17
17,16,Jaime Alguersuari,STR Ferrari,1:33.471,1:33.071,,17
15,17,Vitantonio Liuzzi,Force India Mercedes,1:33.216,1:33.154,,16
16,18,Sebastien Buemi,STR Ferrari,1:33.568,,,11
18,19,Jarno Trulli,Lotus Cosworth,1:35.346,,,10
19,20,Heikki Kovalainen,Lotus Cosworth,1:35.464,,,11
25,21,Lucas di Grassi,Virgin Cosworth,1:36.265,,,9
24,22,Timo Glock,Virgin Cosworth,1:36.332,,,8
21,23,Bruno Senna,HRT Cosworth,1:37.270,,,10
20,24,Sakon Yamamoto,HRT Cosworth,1:37.365,,,8
