,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Mark Webber,RBR Renault,53,1:33.474,223.647
1,2,Jenson Button,McLaren Mercedes,53,1:33.529,223.515
5,3,Sebastian Vettel,RBR Renault,51,1:33.653,223.219
8,4,Fernando Alonso,Ferrari,53,1:33.823,222.815
17,5,Jaime Alguersuari,STR Ferrari,49,1:34.365,221.535
23,6,Kamui Kobayashi,Sauber Ferrari,50,1:34.486,221.251
3,7,Michael Schumacher,Mercedes,52,1:34.853,220.395
16,8,Sebastien Buemi,STR Ferrari,52,1:35.116,219.786
2,9,Lewis Hamilton,McLaren Mercedes,35,1:35.182,219.633
22,10,Nick Heidfeld,Sauber Ferrari,52,1:35.521,218.854
9,11,Rubens Barrichello,Williams Cosworth,53,1:35.597,218.680
4,12,Nico Rosberg,Mercedes,44,1:36.108,217.517
14,13,Adrian Sutil,Force India Mercedes,43,1:36.319,217.041
19,14,Heikki Kovalainen,Lotus Cosworth,51,1:37.620,214.148
18,15,Jarno Trulli,Lotus Cosworth,28,1:39.710,209.660
20,16,Sakon Yamamoto,HRT Cosworth,33,1:39.806,209.458
24,17,Timo Glock,Virgin Cosworth,51,1:39.813,209.443
21,18,Bruno Senna,HRT Cosworth,49,1:40.329,208.366
11,19,Robert Kubica,Renault,2,2:41.378,129.541
