,Position,Driver,Car,Laps,Time,Points
12,1,Gilles Villeneuve,Ferrari,80,1:50:25.400,9
11,2,Jody Scheckter,Ferrari,80,+29.380s,6
27,3,Alan  Jones,Williams Ford,80,+59.690s,4
1,4,Mario Andretti,Lotus Ford,80,+64.330s,3
25,5,Patrick Depailler,Ligier Ford,80,+83.520s,2
4,6,Jean-Pierre Jarier,Tyrrell Ford,79,+1 lap,1
18,7,Elio de Angelis,Shadow Ford,78,+2 laps,0
6,8,Nelson Piquet,Brabham Alfa Romeo,78,+2 laps,0
30,9,Jochen Mass,Arrows Ford,78,+2 laps,0
3,DQ,Didier Pironi,Tyrrell Ford,72,DSQ,0
31,NC,Hector Rebaque,Lotus Ford,71,DNF,0
22,NC,Derek Daly,Ensign Ford,69,DNF,0
7,NC,John Watson,McLaren Ford,62,DNF,0
9,DQ,Hans-Joachim Stuck,ATS Ford,49,DSQ,0
28,NC,Clay Regazzoni,Williams Ford,48,DNF,0
17,NC,Jan Lammers,Shadow Ford,47,DNF,0
29,NC,Riccardo Patrese,Arrows Ford,40,DNF,0
2,NC,Carlos Reutemann,Lotus Ford,21,DNF,0
14,NC,Emerson Fittipaldi,Fittipaldi Ford,19,DNF,0
24,NC,Arturo Merzario,Merzario Ford,13,DNF,0
26,NC,Jacques Laffite,Ligier Ford,8,DNF,0
20,NC,James Hunt,Wolf Ford,0,DNF,0
5,NC,Niki Lauda,Brabham Alfa Romeo,0,DNF,0
8,NC,Patrick Tambay,McLaren Ford,0,DNF,0
