,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Michael Schumacher,Ferrari,55,1:32.112,207.256
16,2,Rubens Barrichello,Stewart Ford,29,1:32.894,205.511
1,3,Mika Hakkinen,McLaren Mercedes,9,1:33.309,204.597
8,4,Heinz-Harald Frentzen,Jordan Mugen Honda,33,1:33.378,204.446
6,5,Ralf Schumacher,Williams Supertec,32,1:33.407,204.382
4,6,Eddie Irvine,Ferrari,29,1:33.560,204.048
2,7,David Coulthard,McLaren Mercedes,9,1:33.603,203.955
9,8,Giancarlo Fisichella,Benetton Playlife,34,1:33.657,203.837
12,9,Pedro Diniz,Sauber Petronas,13,1:34.748,201.490
23,10,Ricardo Zonta,BAR Supertec,13,1:34.756,201.473
22,11,Jacques Villeneuve,BAR Supertec,12,1:34.771,201.441
19,12,Jarno Trulli,Prost Peugeot,21,1:34.980,200.998
14,13,Pedro de la Rosa,Arrows,39,1:35.220,200.491
15,14,Toranosuke Takagi,Arrows,50,1:35.877,199.117
18,15,Olivier Panis,Prost Peugeot,13,1:35.910,199.049
10,16,Alexander Wurz,Benetton Playlife,20,1:36.068,198.721
20,17,Luca Badoer,Minardi Ford,29,1:37.073,196.664
5,18,Alessandro Zanardi,Williams Supertec,20,1:37.146,196.516
21,19,Marc Gene,Minardi Ford,20,1:37.454,195.895
