,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:30.462,12
2,2,David Coulthard,McLaren Mercedes,1:30.946,11
3,3,Michael Schumacher,Ferrari,1:31.781,11
16,4,Rubens Barrichello,Stewart Ford,1:32.148,12
8,5,Heinz-Harald Frentzen,Jordan Mugen Honda,1:32.276,11
4,6,Eddie Irvine,Ferrari,1:32.289,12
9,7,Giancarlo Fisichella,Benetton Playlife,1:32.540,12
6,8,Ralf Schumacher,Williams Supertec,1:32.691,10
7,9,Damon Hill,Jordan Mugen Honda,1:32.695,12
10,10,Alexander Wurz,Benetton Playlife,1:32.789,12
22,11,Jacques Villeneuve,BAR Supertec,1:32.888,10
19,12,Jarno Trulli,Prost Peugeot,1:32.971,11
17,13,Johnny Herbert,Stewart Ford,1:32.991,12
12,14,Pedro Diniz,Sauber Petronas,1:33.374,9
5,15,Alessandro Zanardi,Williams Supertec,1:33.549,12
11,16,Jean Alesi,Sauber Petronas,1:33.910,10
15,17,Toranosuke Takagi,Arrows,1:34.182,12
14,18,Pedro de la Rosa,Arrows,1:34.244,12
23,19,Ricardo Zonta,BAR Supertec,1:34.412,11
18,20,Olivier Panis,Prost Peugeot,1:35.068,10
20,21,Luca Badoer,Minardi Ford,1:35.316,11
21,NC,Marc Gene,Minardi Ford,1:37.013,11
