,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:29.521
28,2,Gerhard Berger,Ferrari,+1.047s
20,3,Thierry Boutsen,Benetton Ford,+1.154s
5,4,Nigel Mansell,Williams Judd,+1.597s
27,5,Michele Alboreto,Ferrari,+1.860s
1,6,Nelson Piquet,Lotus Honda,+2.394s
6,7,Riccardo Patrese,Williams Judd,+2.652s
15,8,Mauricio Gugelmin,March Judd,+2.869s
17,9,Derek Warwick,Arrows Megatron,+3.272s
22,10,Andrea de Cesaris,Rial Ford,+3.314s
2,11,Satoru Nakajima,Lotus Honda,+3.660s
18,12,Eddie  Cheever,Arrows Megatron,+4.235s
30,13,Philippe Alliot,Lola Ford,+4.240s
11,14,Alain Prost,McLaren Honda,+4.506s
19,15,Alessandro Nannini,Benetton Ford,+4.694s
23,16,Adrian Campos,Minardi Ford,+5.641s
29,17,Yannick Dalmas,Lola Ford,+5.876s
16,18,Ivan Capelli,March Judd,+5.887s
26,19,Stefan Johansson,Ligier Judd,+6.114s
24,20,Luis Perez-Sala,Minardi Ford,+6.272s
14,21,Philippe Streiff,AGS Ford,+6.354s
32,22,Oscar Larrauri,Euro Brun Ford,+6.723s
25,23,Rene Arnoux,Ligier Judd,+6.888s
31,24,Gabriele Tarquini,Coloni Ford,+6.899s
3,25,Jonathan  Palmer,Tyrrell Ford,+7.168s
9,26,Piercarlo Ghinzani,Zakspeed,+8.386s
33,27,Stefano Modena,Euro Brun Ford,+8.831s
21,28,Nicola Larini,Osella,+8.922s
4,29,Julian Bailey,Tyrrell Ford,+9.156s
10,30,Bernd Schneider,Zakspeed,+9.781s
