,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,45,1:32.943
27,2,Michele Alboreto,Ferrari,39,1:33.193
11,3,Alain Prost,McLaren Honda,57,1:33.540
1,4,Nelson Piquet,Lotus Honda,44,1:33.597
2,5,Satoru Nakajima,Lotus Honda,47,1:33.903
22,6,Andrea de Cesaris,Rial Ford,44,1:34.440
20,7,Thierry Boutsen,Benetton Ford,31,1:34.457
18,8,Eddie  Cheever,Arrows Megatron,46,1:34.632
12,9,Ayrton Senna,McLaren Honda,13,1:34.657
29,10,Yannick Dalmas,Lola Ford,32,1:35.003
17,11,Derek Warwick,Arrows Megatron,44,1:35.020
5,12,Nigel Mansell,Williams Judd,10,1:35.346
26,13,Stefan Johansson,Ligier Judd,44,1:36.429
14,14,Philippe Streiff,AGS Ford,34,1:36.451
30,15,Philippe Alliot,Lola Ford,31,1:36.613
19,16,Alessandro Nannini,Benetton Ford,3,1:36.616
3,17,Jonathan  Palmer,Tyrrell Ford,38,1:36.758
24,18,Luis Perez-Sala,Minardi Ford,43,1:36.929
6,19,Riccardo Patrese,Williams Judd,3,1:37.003
16,20,Ivan Capelli,March Judd,6,1:37.024
31,21,Gabriele Tarquini,Coloni Ford,34,1:37.112
33,22,Stefano Modena,Euro Brun Ford,15,1:38.401
25,23,Rene Arnoux,Ligier Judd,21,1:38.556
23,24,Adrian Campos,Minardi Ford,3,1:41.641
