,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:31.234
12,2,Ayrton Senna,McLaren Honda,+0.527s
5,3,Nigel Mansell,Williams Judd,+0.753s
27,4,Michele Alboreto,Ferrari,+1.375s
19,5,Alessandro Nannini,Benetton Ford,+1.653s
20,6,Thierry Boutsen,Benetton Ford,+1.903s
28,7,Gerhard Berger,Ferrari,+2.042s
18,8,Eddie  Cheever,Arrows Megatron,+2.719s
17,9,Derek Warwick,Arrows Megatron,+2.740s
1,10,Nelson Piquet,Lotus Honda,+2.943s
6,11,Riccardo Patrese,Williams Judd,+3.912s
15,12,Mauricio Gugelmin,March Judd,+4.112s
2,13,Satoru Nakajima,Lotus Honda,+4.123s
29,14,Yannick Dalmas,Lola Ford,+5.351s
30,15,Philippe Alliot,Lola Ford,+5.637s
25,16,Rene Arnoux,Ligier Judd,+5.741s
23,17,Adrian Campos,Minardi Ford,+5.750s
22,18,Andrea de Cesaris,Rial Ford,+5.799s
24,19,Luis Perez-Sala,Minardi Ford,+6.587s
33,20,Stefano Modena,Euro Brun Ford,+6.652s
32,21,Oscar Larrauri,Euro Brun Ford,+7.042s
26,22,Stefan Johansson,Ligier Judd,+7.286s
14,23,Philippe Streiff,AGS Ford,+7.824s
3,24,Jonathan  Palmer,Tyrrell Ford,+8.548s
9,25,Piercarlo Ghinzani,Zakspeed,+9.143s
16,26,Ivan Capelli,March Judd,+10.163s
21,27,Nicola Larini,Osella,+11.187s
4,28,Julian Bailey,Tyrrell Ford,+11.357s
31,29,Gabriele Tarquini,Coloni Ford,+12.635s
36,30,Alex Caffi,Dallara Ford,+15.208s
10,31,Bernd Schneider,Zakspeed,+544.582s
