,Position,Driver,Car,Laps,Time,Points
4,1,Jackie Stewart,Matra Ford,90,2:06:42.080,9
10,2,Jo Siffert,Lotus Ford,90,+24.520s,6
8,3,Chris Amon,Ferrari,90,+30.510s,4
7,4,Denny Hulme,McLaren Ford,90,+37.160s,3
12,5,Jacky Ickx,Brabham Ford,90,+37.670s,2
11,6,Jack Brabham,Brabham Ford,90,+70.810s,1
1,7,Graham Hill,Lotus Ford,88,+2 laps,0
5,8,Jean-Pierre Beltoise,Matra Ford,87,+3 laps,0
14,9,John Surtees,BRM,87,+3 laps,0
18,10,Vic  Elford ,McLaren Ford,84,+6 laps,0
17,NC,Silvio  Moser ,Brabham Ford,54,DNF,0
6,NC,Bruce McLaren,McLaren Ford,24,DNF,0
2,NC,Jochen Rindt,Lotus Ford,16,DNF,0
16,NC,Piers   Courage,Brabham Ford,12,DNF,0
15,NC,Jackie Oliver,BRM,9,DNF,0
