,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Fernando Alonso,Ferrari,41,1:34.908,223.454
6,2,Felipe Massa,Ferrari,49,1:35.474,222.129
1,3,Sebastian Vettel,Red Bull Racing Renault,38,1:35.565,221.918
2,4,Mark Webber,Red Bull Racing Renault,49,1:35.665,221.686
3,5,Lewis Hamilton,McLaren Mercedes,39,1:36.180,220.499
10,6,Vitaly Petrov,Renault,40,1:36.308,220.206
17,7,Sergio Perez,Sauber Ferrari,35,1:36.656,219.413
11,8,Rubens Barrichello,Williams Cosworth,38,1:36.733,219.238
14,9,Adrian Sutil,Force India Mercedes,42,1:36.744,219.213
4,10,Jenson Button,McLaren Mercedes,31,1:36.982,218.675
7,11,Michael Schumacher,Mercedes,34,1:37.034,218.558
12,12,Pastor Maldonado,Williams Cosworth,41,1:37.036,218.553
8,13,Nico Rosberg,Mercedes,32,1:37.073,218.470
9,14,Nick Heidfeld,Renault,37,1:37.117,218.371
19,15,Jaime Alguersuari,STR Ferrari,38,1:37.160,218.275
15,16,Paul di Resta,Force India Mercedes,48,1:37.936,216.545
24,17,Timo Glock,Virgin Cosworth,49,1:39.811,212.477
18,18,Sebastien Buemi,STR Ferrari,24,1:40.224,211.602
23,19,Vitantonio Liuzzi,HRT Cosworth,40,1:40.524,210.970
25,20,Jerome d'Ambrosio,Virgin Cosworth,30,1:40.560,210.894
16,21,Kamui Kobayashi,Sauber Ferrari,23,1:40.703,210.595
22,22,Daniel Ricciardo,HRT Cosworth,30,1:40.910,210.163
21,23,Jarno Trulli,Lotus Renault,9,1:55.491,183.629
20,24,Heikki Kovalainen,Lotus Renault,2,2:10.404,162.629
