,Position,Driver,Car,Laps,Time,Points
5,1,Fernando Alonso,Ferrari,52,1:28:41.196,25
1,2,Sebastian Vettel,Red Bull Racing Renault,52,+16.511s,18
2,3,Mark Webber,Red Bull Racing Renault,52,+16.947s,15
3,4,Lewis Hamilton,McLaren Mercedes,52,+28.986s,12
6,5,Felipe Massa,Ferrari,52,+29.010s,10
8,6,Nico Rosberg,Mercedes,52,+60.665s,8
17,7,Sergio Perez,Sauber Ferrari,52,+65.590s,6
9,8,Nick Heidfeld,Renault,52,+75.542s,4
7,9,Michael Schumacher,Mercedes,52,+77.912s,2
19,10,Jaime Alguersuari,STR Ferrari,52,+79.108s,1
14,11,Adrian Sutil,Force India Mercedes,52,+79.712s,0
10,12,Vitaly Petrov,Renault,52,+80.681s,0
11,13,Rubens Barrichello,Williams Cosworth,51,+1 lap,0
12,14,Pastor Maldonado,Williams Cosworth,51,+1 lap,0
15,15,Paul di Resta,Force India Mercedes,51,+1 lap,0
24,16,Timo Glock,Virgin Cosworth,50,+2 laps,0
25,17,Jerome d'Ambrosio,Virgin Cosworth,50,+2 laps,0
23,18,Vitantonio Liuzzi,HRT Cosworth,50,+2 laps,0
22,19,Daniel Ricciardo,HRT Cosworth,49,+3 laps,0
4,NC,Jenson Button,McLaren Mercedes,39,DNF,0
18,NC,Sebastien Buemi,STR Ferrari,25,DNF,0
16,NC,Kamui Kobayashi,Sauber Ferrari,23,DNF,0
21,NC,Jarno Trulli,Lotus Renault,10,DNF,0
20,NC,Heikki Kovalainen,Lotus Renault,2,DNF,0
