,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Mark Webber,Red Bull Racing Renault,1:32.670,1:31.673,1:30.399,19
1,2,Sebastian Vettel,Red Bull Racing Renault,1:32.977,1:32.379,1:30.431,19
5,3,Fernando Alonso,Ferrari,1:32.986,1:31.727,1:30.516,20
6,4,Felipe Massa,Ferrari,1:32.760,1:31.640,1:31.124,16
4,5,Jenson Button,McLaren Mercedes,1:34.230,1:32.273,1:31.898,21
15,6,Paul di Resta,Force India Mercedes,1:34.472,1:32.569,1:31.929,14
12,7,Pastor Maldonado,Williams Cosworth,1:32.702,1:32.588,1:31.933,16
16,8,Kamui Kobayashi,Sauber Ferrari,1:34.324,1:32.399,1:32.128,16
8,9,Nico Rosberg,Mercedes,1:34.186,1:32.295,1:32.209,18
3,10,Lewis Hamilton,McLaren Mercedes,1:33.581,1:32.505,1:32.376,20
14,11,Adrian Sutil,Force India Mercedes,1:34.454,1:32.617,,14
17,12,Sergio Perez,Sauber Ferrari,1:34.145,1:32.624,,14
7,13,Michael Schumacher,Mercedes,1:34.160,1:32.656,,15
10,14,Vitaly Petrov,Renault,1:34.428,1:32.734,,14
11,15,Rubens Barrichello,Williams Cosworth,1:33.532,1:33.119,,12
9,16,Nick Heidfeld,Renault,1:35.132,1:33.805,,15
20,17,Heikki Kovalainen,Lotus Renault,1:34.923,1:34.821,,9
19,18,Jaime Alguersuari,STR Ferrari,1:35.245,,,7
18,19,Sebastien Buemi,STR Ferrari,1:35.749,,,7
24,20,Timo Glock,Virgin Cosworth,1:36.203,,,7
21,21,Jarno Trulli,Lotus Renault,1:36.456,,,4
25,22,Jerome d'Ambrosio,Virgin Cosworth,1:37.154,,,6
23,23,Vitantonio Liuzzi,HRT Cosworth,1:37.484,,,7
22,24,Daniel Ricciardo,HRT Cosworth,1:38.059,,,6
