,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:18.051
6,2,Riccardo Patrese,Williams Renault,+0.146s
19,3,Alessandro Nannini,Benetton Ford,+0.172s
8,4,Stefano Modena,Brabham Judd,+0.320s
27,5,Nigel Mansell,Ferrari,+0.376s
37,6,Jyrki Jarvilehto,Onyx Ford,+0.478s
30,7,Philippe Alliot,Lola Lamborghini,+0.613s
17,8,Nicola Larini,Osella Ford,+0.770s
23,9,Pierluigi Martini,Minardi Ford,+0.966s
7,10,Martin Brundle,Brabham Judd,+1.110s
1,11,Ayrton Senna,McLaren Honda,+1.176s
3,12,Jonathan  Palmer,Tyrrell Ford,+1.316s
4,13,Jean Alesi,Tyrrell Ford,+1.572s
22,14,Andrea de Cesaris,Dallara Ford,+1.578s
20,15,Emanuele Pirro,Benetton Ford,+1.673s
5,16,Thierry Boutsen,Williams Renault,+1.721s
25,17,Rene Arnoux,Ligier Ford,+2.170s
9,18,Derek Warwick,Arrows Ford,+2.246s
15,19,Mauricio Gugelmin,March Judd,+2.546s
12,20,Satoru Nakajima,Lotus Judd,+2.562s
26,21,Olivier Grouillard,Ligier Ford,+2.778s
11,22,Nelson Piquet,Lotus Judd,+2.917s
10,23,Eddie  Cheever,Arrows Ford,+2.940s
24,24,Luis Perez-Sala,Minardi Ford,+3.040s
38,25,Pierre Henri Raphanel,Rial Ford,+3.832s
16,26,Ivan Capelli,March Judd,+5.153s
21,27,Alex Caffi,Dallara Ford,+5.435s
39,28,Bertrand Gachot,Rial Ford,+7.257s
18,29,Piercarlo Ghinzani,Osella Ford,+15.244s
28,30,Gerhard Berger,Ferrari,+17.268s
