,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:17.415
23,2,Pierluigi Martini,Minardi Ford,+0.590s
27,3,Nigel Mansell,Ferrari,+0.797s
19,4,Alessandro Nannini,Benetton Ford,+1.017s
28,5,Gerhard Berger,Ferrari,+1.226s
4,6,Jean Alesi,Tyrrell Ford,+1.242s
21,7,Alex Caffi,Dallara Ford,+1.299s
7,8,Martin Brundle,Brabham Judd,+1.432s
2,9,Alain Prost,McLaren Honda,+1.505s
22,10,Andrea de Cesaris,Dallara Ford,+1.566s
16,11,Ivan Capelli,March Judd,+1.623s
8,12,Stefano Modena,Brabham Judd,+1.698s
37,13,Jyrki Jarvilehto,Onyx Ford,+1.938s
5,14,Thierry Boutsen,Williams Renault,+2.088s
6,15,Riccardo Patrese,Williams Renault,+2.094s
17,16,Nicola Larini,Osella Ford,+2.173s
30,17,Philippe Alliot,Lola Lamborghini,+2.196s
3,18,Jonathan  Palmer,Tyrrell Ford,+2.486s
25,19,Rene Arnoux,Ligier Ford,+2.525s
11,20,Nelson Piquet,Lotus Judd,+2.616s
10,21,Eddie  Cheever,Arrows Ford,+2.708s
9,22,Derek Warwick,Arrows Ford,+2.759s
15,23,Mauricio Gugelmin,March Judd,+2.859s
24,24,Luis Perez-Sala,Minardi Ford,+3.375s
12,25,Satoru Nakajima,Lotus Judd,+3.669s
20,26,Emanuele Pirro,Benetton Ford,+3.765s
26,27,Olivier Grouillard,Ligier Ford,+4.209s
18,28,Piercarlo Ghinzani,Osella Ford,+4.631s
38,29,Pierre Henri Raphanel,Rial Ford,+5.537s
39,30,Bertrand Gachot,Rial Ford,+6.764s
