,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:43.726,9
4,2,Kimi Räikkönen,McLaren Mercedes,1:44.150,12
2,3,Rubens Barrichello,Ferrari,1:44.335,12
5,4,Ralf Schumacher,Williams BMW,1:44.348,12
6,5,Juan Pablo Montoya,Williams BMW,1:44.634,12
3,6,David Coulthard,McLaren Mercedes,1:44.759,12
14,7,Jarno Trulli,Renault,1:45.386,11
16,8,Eddie Irvine,Jaguar Cosworth,1:45.865,12
24,9,Mika Salo,Toyota,1:45.880,12
15,10,Jenson Button,Renault,1:45.972,12
17,11,Pedro de la Rosa,Jaguar Cosworth,1:46.056,10
11,12,Jacques Villeneuve,BAR Honda,1:46.403,11
25,13,Allan McNish,Toyota,1:46.485,12
9,14,Giancarlo Fisichella,Jordan Honda,1:46.508,11
12,15,Olivier Panis,BAR Honda,1:46.553,10
10,16,Takuma Sato,Jordan Honda,1:46.875,12
8,17,Felipe Massa,Sauber Petronas,1:46.896,12
7,18,Nick Heidfeld,Sauber Petronas,1:47.272,10
23,19,Mark Webber,Minardi Asiatech,1:47.562,12
22,20,Anthony Davidson,Minardi Asiatech,1:48.170,11
