,Position,Driver,Car,Lap,Time
7,1,John Watson,McLaren TAG,55,1:47.668
1,2,Keke Rosberg,Williams Honda,55,1:47.969
5,3,Nelson Piquet,Brabham BMW,46,1:48.332
3,4,Michele Alboreto,Tyrrell Ford,54,1:48.443
28,5,Rene Arnoux,Ferrari,23,1:48.934
2,6,Jacques Laffite,Williams Honda,28,1:49.252
25,7,Jean-Pierre Jarier,Ligier Ford,21,1:49.340
35,8,Derek Warwick,Toleman Hart,20,1:49.351
22,9,Andrea de Cesaris,Alfa Romeo,27,1:49.423
29,10,Marc Surer,Arrows Ford,57,1:49.809
12,11,Nigel Mansell,Lotus Ford,36,1:50.029
4,12,Danny Sullivan,Tyrrell Ford,26,1:50.088
36,13,Bruno Giacomelli,Toleman Hart,41,1:50.150
30,14,Thierry Boutsen,Arrows Ford,21,1:50.296
33,15,Roberto Guerrero,Theodore Ford,36,1:50.351
15,16,Alain Prost,Renault,29,1:50.555
8,17,Niki Lauda,McLaren TAG,17,1:51.318
34,18,Johnny Cecotto,Theodore Ford,34,1:51.768
26,19,Raul Boesel,Ligier Ford,56,1:51.804
6,20,Riccardo Patrese,Brabham BMW,6,1:52.031
9,21,Manfred Winkelhock,ATS BMW,19,1:52.093
11,22,Elio de Angelis,Lotus Ford,4,1:52.584
23,23,Mauro Baldi,Alfa Romeo,44,1:53.198
16,24,Eddie  Cheever,Renault,3,1:53.926
32,25,Piercarlo Ghinzani,Osella Ford,4,1:55.000
