,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:13.333,11
1,2,Michael Schumacher,Ferrari,1:13.392,9
5,3,Ralf Schumacher,Williams BMW,1:13.746,11
6,4,Juan Pablo Montoya,Williams BMW,1:14.706,11
9,5,Giancarlo Fisichella,Jordan Honda,1:14.880,11
14,6,Jarno Trulli,Renault,1:14.980,12
8,7,Felipe Massa,Sauber Petronas,1:15.047,12
7,8,Nick Heidfeld,Sauber Petronas,1:15.129,12
15,9,Jenson Button,Renault,1:15.214,11
3,10,David Coulthard,McLaren Mercedes,1:15.223,12
4,11,Kimi Räikkönen,McLaren Mercedes,1:15.243,12
12,12,Olivier Panis,BAR Honda,1:15.556,11
11,13,Jacques Villeneuve,BAR Honda,1:15.583,11
10,14,Takuma Sato,Jordan Honda,1:15.804,11
17,15,Pedro de la Rosa,Jaguar Cosworth,1:15.867,12
16,16,Eddie Irvine,Jaguar Cosworth,1:16.419,10
24,17,Mika Salo,Toyota,1:16.473,11
25,18,Allan McNish,Toyota,1:16.626,11
23,19,Mark Webber,Minardi Asiatech,1:17.428,9
22,20,Anthony Davidson,Minardi Asiatech,1:17.959,11
