,Position,Driver,Car,Laps,Time,Points
2,1,Rubens Barrichello,Ferrari,77,1:41:49.001,10
1,2,Michael Schumacher,Ferrari,77,+0.434s,6
5,3,Ralf Schumacher,Williams BMW,77,+13.355s,4
4,4,Kimi Räikkönen,McLaren Mercedes,77,+29.479s,3
3,5,David Coulthard,McLaren Mercedes,77,+37.800s,2
9,6,Giancarlo Fisichella,Jordan Honda,77,+68.804s,1
8,7,Felipe Massa,Sauber Petronas,77,+73.612s,0
14,8,Jarno Trulli,Renault,76,+1 lap,0
7,9,Nick Heidfeld,Sauber Petronas,76,+1 lap,0
10,10,Takuma Sato,Jordan Honda,76,+1 lap,0
6,11,Juan Pablo Montoya,Williams BMW,76,+1 lap,0
12,12,Olivier Panis,BAR Honda,76,+1 lap,0
17,13,Pedro de la Rosa,Jaguar Cosworth,75,+2 laps,0
25,14,Allan McNish,Toyota,75,+2 laps,0
24,15,Mika Salo,Toyota,75,+2 laps,0
23,16,Mark Webber,Minardi Asiatech,75,+2 laps,0
22,NC,Anthony Davidson,Minardi Asiatech,58,DNF,0
15,NC,Jenson Button,Renault,30,DNF,0
16,NC,Eddie Irvine,Jaguar Cosworth,23,DNF,0
11,NC,Jacques Villeneuve,BAR Honda,20,DNF,0
