,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:34.308,1:33.527,1:32.422,18
4,2,Lewis Hamilton,McLaren Mercedes,1:34.813,1:33.209,1:32.520,13
2,3,Mark Webber,Red Bull Racing Renault,1:34.015,1:33.311,1:32.637,17
3,4,Jenson Button,McLaren Mercedes,1:34.792,1:33.416,1:32.711,12
8,5,Nico Rosberg,Mercedes,1:34.588,1:33.219,1:32.821,10
16,6,Daniel Ricciardo,STR Ferrari,1:33.988,1:33.556,1:32.912,17
10,7,Romain Grosjean,Lotus Renault,1:34.041,1:33.246,1:33.008,13
15,8,Sergio Perez,Sauber Ferrari,1:33.814,1:33.660,1:33.394,17
5,9,Fernando Alonso,Ferrari,1:34.760,1:33.403,DNF,11
11,10,Paul di Resta,Force India Mercedes,1:34.624,1:33.510,DNF,15
9,11,Kimi Räikkönen,Lotus Renault,1:34.552,1:33.789,,6
14,12,Kamui Kobayashi,Sauber Ferrari,1:34.131,1:33.806,,13
12,13,Nico Hulkenberg,Force India Mercedes,1:34.601,1:33.807,,12
6,14,Felipe Massa,Ferrari,1:34.372,1:33.912,,14
19,15,Bruno Senna,Williams Renault,1:34.466,1:34.017,,14
20,16,Heikki Kovalainen,Caterham Renault,1:34.852,1:36.132,,10
18,17,Pastor Maldonado,Williams Renault,1:34.639,,,8
7,18,Michael Schumacher,Mercedes,1:34.865,,,5
17,19,Jean-Eric Vergne,STR Ferrari,1:35.014,,,8
21,20,Vitaly Petrov,Caterham Renault,1:35.823,,,7
25,21,Charles Pic,Marussia Cosworth,1:37.683,,,8
22,22,Pedro de la Rosa,HRT Cosworth,1:37.883,,,6
24,23,Timo Glock,Marussia Cosworth,1:37.905,,,7
23,24,Narain Karthikeyan,HRT Cosworth,1:38.314,,,7
