,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,50,1:30.945,209.915,17:23:14
6,2,Nico Rosberg,Mercedes,47,1:31.092,209.577,17:18:42
7,3,Kimi Räikkönen,Ferrari,36,1:31.426,208.811,17:02:23
5,4,Sebastian Vettel,Ferrari,52,1:31.457,208.740,17:26:49
9,5,Marcus Ericsson,Sauber Ferrari,51,1:31.560,208.505,17:27:11
19,6,Felipe Massa,Williams Mercedes,50,1:31.719,208.144,17:23:49
11,7,Sergio Perez,Force India Mercedes,46,1:31.959,207.601,17:19:41
27,8,Nico Hulkenberg,Force India Mercedes,48,1:31.970,207.576,17:22:20
12,9,Felipe Nasr,Sauber Ferrari,46,1:32.612,206.137,17:18:17
3,10,Daniel Ricciardo,Red Bull Racing Renault,46,1:32.797,205.726,17:18:20
55,11,Carlos Sainz,STR Renault,49,1:32.872,205.560,17:24:04
22,12,Jenson Button,McLaren Honda,56,1:33.338,204.534,17:35:50
33,13,Max Verstappen,STR Renault,30,1:34.295,202.458,16:53:22
