,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,66,1:18.183,214.343,16:45:49
44,2,Lewis Hamilton,Mercedes,63,1:19.822,209.942,16:41:00
8,3,Romain Grosjean,Haas Ferrari,64,1:20.409,208.409,16:45:34
33,4,Max Verstappen,Red Bull Racing Honda,53,1:21.477,205.677,16:27:42
55,5,Carlos Sainz,McLaren Renault,59,1:21.771,204.938,16:37:13
99,6,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,47,1:21.801,204.863,16:21:17
7,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,47,1:21.888,204.645,16:21:11
18,8,Lance Stroll,Racing Point BWT Mercedes,56,1:22.024,204.306,16:33:01
6,9,Nicholas Latifi,Williams Mercedes,60,1:22.030,204.291,16:39:32
31,10,Esteban Ocon,Renault,65,1:22.174,203.933,16:46:00
23,11,Alexander Albon,Red Bull Racing Honda,41,1:22.194,203.883,16:12:16
26,12,Daniil Kvyat,AlphaTauri Honda,47,1:22.336,203.531,16:20:49
4,13,Lando Norris,McLaren Renault,56,1:22.392,203.393,16:33:11
3,14,Daniel Ricciardo,Renault,51,1:22.464,203.215,16:26:19
63,15,George Russell,Williams Mercedes,37,1:22.503,203.119,16:06:53
11,16,Sergio Perez,Racing Point BWT Mercedes,58,1:22.515,203.090,16:35:41
10,17,Pierre Gasly,AlphaTauri Honda,44,1:22.543,203.021,16:16:30
5,18,Sebastian Vettel,Ferrari,48,1:22.707,202.618,16:21:52
20,19,Kevin Magnussen,Haas Ferrari,64,1:23.474,200.757,16:44:49
16,20,Charles Leclerc,Ferrari,35,1:23.968,199.576,16:03:37
