,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:17.094
6,2,Riccardo Patrese,Williams Renault,+0.153s
1,3,Ayrton Senna,McLaren Honda,+0.389s
27,4,Alain Prost,Ferrari,+0.888s
28,5,Jean Alesi,Ferrari,+1.047s
2,6,Gerhard Berger,McLaren Honda,+1.184s
19,7,Roberto Moreno,Benetton Ford,+1.579s
32,8,Bertrand Gachot,Jordan Ford,+1.645s
33,9,Andrea de Cesaris,Jordan Ford,+2.013s
4,10,Stefano Modena,Tyrrell Honda,+2.203s
15,11,Mauricio Gugelmin,Leyton House Ilmor,+2.214s
21,12,Emanuele Pirro,Dallara Judd,+2.228s
20,13,Nelson Piquet,Benetton Ford,+2.335s
29,14,Eric Bernard,Lola Ford,+2.688s
3,15,Satoru Nakajima,Tyrrell Honda,+2.756s
30,16,Aguri Suzuki,Lola Ford,+2.922s
24,17,Gianni Morbidelli,Minardi Ferrari,+3.232s
16,18,Ivan Capelli,Leyton House Ilmor,+3.771s
25,19,Thierry Boutsen,Ligier Lamborghini,+3.851s
8,20,Mark Blundell,Brabham Yamaha,+4.118s
17,21,Gabriele Tarquini,AGS Ford,+4.162s
7,22,Martin Brundle,Brabham Yamaha,+4.301s
26,23,Erik Comas,Ligier Lamborghini,+4.517s
22,24,Jyrki Jarvilehto,Dallara Judd,+4.693s
11,25,Mika Hakkinen,Lotus Judd,+4.899s
18,26,Stefan Johansson,AGS Ford,+4.935s
9,27,Michele Alboreto,Footwork Porsche,+5.014s
10,28,Alex Caffi,Footwork Porsche,+5.416s
12,29,Julian Bailey,Lotus Judd,+5.726s
23,30,Pierluigi Martini,Minardi Ferrari,+6.874s
