,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,35,1:20.436
27,2,Alain Prost,Ferrari,64,1:20.635
1,3,Ayrton Senna,McLaren Honda,36,1:20.841
28,4,Jean Alesi,Ferrari,66,1:20.991
2,5,Gerhard Berger,McLaren Honda,66,1:21.125
20,6,Nelson Piquet,Benetton Ford,66,1:21.280
6,7,Riccardo Patrese,Williams Renault,45,1:21.330
19,8,Roberto Moreno,Benetton Ford,63,1:22.473
11,9,Mika Hakkinen,Lotus Judd,33,1:22.613
23,10,Pierluigi Martini,Minardi Ferrari,37,1:22.887
32,11,Bertrand Gachot,Jordan Ford,11,1:23.051
33,12,Andrea de Cesaris,Jordan Ford,17,1:23.144
24,13,Gianni Morbidelli,Minardi Ferrari,44,1:23.161
29,14,Eric Bernard,Lola Ford,32,1:23.270
4,15,Stefano Modena,Tyrrell Honda,11,1:23.424
16,16,Ivan Capelli,Leyton House Ilmor,6,1:23.580
26,17,Erik Comas,Ligier Lamborghini,33,1:23.587
15,18,Mauricio Gugelmin,Leyton House Ilmor,4,1:23.669
21,19,Emanuele Pirro,Dallara Judd,62,1:23.808
25,20,Thierry Boutsen,Ligier Lamborghini,32,1:23.873
22,21,Jyrki Jarvilehto,Dallara Judd,14,1:24.420
3,22,Satoru Nakajima,Tyrrell Honda,6,1:25.053
7,23,Martin Brundle,Brabham Yamaha,44,1:25.319
8,24,Mark Blundell,Brabham Yamaha,7,1:26.224
