,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:33.780
4,2,Stefano Modena,Tyrrell Honda,+0.467s
2,3,Gerhard Berger,McLaren Honda,+0.673s
28,4,Jean Alesi,Ferrari,+0.949s
19,5,Roberto Moreno,Benetton Ford,+1.603s
5,6,Nigel Mansell,Williams Renault,+1.668s
20,7,Nelson Piquet,Benetton Ford,+1.814s
27,8,Alain Prost,Ferrari,+2.061s
23,9,Pierluigi Martini,Minardi Ferrari,+2.368s
3,10,Satoru Nakajima,Tyrrell Honda,+3.102s
29,11,Eric Bernard,Lola Ford,+3.769s
24,12,Gianni Morbidelli,Minardi Ferrari,+4.121s
16,13,Ivan Capelli,Leyton House Ilmor,+4.282s
22,14,Jyrki Jarvilehto,Dallara Judd,+4.829s
21,15,Emanuele Pirro,Dallara Judd,+5.251s
17,16,Gabriele Tarquini,AGS Ford,+5.440s
30,17,Aguri Suzuki,Lola Ford,+5.448s
7,18,Martin Brundle,Brabham Yamaha,+5.466s
12,19,Julian Bailey,Lotus Judd,+5.484s
26,20,Erik Comas,Ligier Lamborghini,+5.560s
8,21,Mark Blundell,Brabham Yamaha,+5.580s
18,22,Stefan Johansson,AGS Ford,+5.863s
25,23,Thierry Boutsen,Ligier Lamborghini,+6.055s
11,24,Mika Hakkinen,Lotus Judd,+6.314s
15,25,Mauricio Gugelmin,Leyton House Ilmor,+6.602s
6,26,Riccardo Patrese,Williams Renault,+7.627s
10,27,Alex Caffi,Footwork Porsche,+9.191s
9,28,Michele Alboreto,Footwork Porsche,+13.721s
32,29,Bertrand Gachot,Jordan Ford,+30.275s
33,30,Andrea de Cesaris,Jordan Ford,+48.308s
