,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Felipe Massa,Ferrari,1:10.643,1:10.775,1:10.680,19
3,2,Kimi Räikkönen,McLaren Mercedes,1:12.035,1:11.386,1:11.299,21
8,3,Jarno Trulli,Toyota,1:11.885,1:11.343,1:11.328,26
1,4,Fernando Alonso,Renault,1:11.791,1:11.148,1:11.567,19
11,5,Rubens Barrichello,Honda,1:12.017,1:11.578,1:11.619,26
2,6,Giancarlo Fisichella,Renault,1:12.042,1:11.461,1:11.629,22
7,7,Ralf Schumacher,Toyota,1:11.713,1:11.550,1:11.695,27
16,8,Nick Heidfeld,Sauber BMW,1:12.307,1:11.648,1:11.882,23
17,9,Robert Kubica,Sauber BMW,1:12.040,1:11.589,1:12.131,22
5,10,Michael Schumacher,Ferrari,1:11.565,1:10.313,DNS,7
9,11,Mark Webber,Williams Cosworth,1:11.973,1:11.650,,11
4,12,Pedro de la Rosa,McLaren Mercedes,1:11.825,1:11.658,,12
10,13,Nico Rosberg,Williams Cosworth,1:11.974,1:11.679,,12
12,14,Jenson Button,Honda,1:12.085,1:11.742,,10
15,15,Robert Doornbos,RBR Ferrari,1:12.530,1:12.591,,10
20,16,Vitantonio Liuzzi,STR Cosworth,1:12.855,1:12.861,,15
21,17,Scott Speed,STR Cosworth,1:12.856,,,8
19,18,Christijan Albers,MF1 Toyota,1:13.138,,,7
14,19,David Coulthard,RBR Ferrari,1:13.249,,,7
22,20,Takuma Sato,Super Aguri Honda,1:13.269,,,7
23,21,Sakon Yamamoto,Super Aguri Honda,1:13.357,,,10
18,22,Tiago Monteiro,MF1 Toyota,DNF,,,2
