,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:13.114,12
1,2,Michael Schumacher,Ferrari,1:13.241,9
5,3,Ralf Schumacher,Williams BMW,1:13.328,12
3,4,David Coulthard,McLaren Mercedes,1:13.565,12
4,5,Kimi Räikkönen,McLaren Mercedes,1:13.595,11
14,6,Jarno Trulli,Renault,1:13.611,11
15,7,Jenson Button,Renault,1:13.665,12
2,8,Rubens Barrichello,Ferrari,1:13.935,9
7,9,Nick Heidfeld,Sauber Petronas,1:14.233,12
24,10,Mika Salo,Toyota,1:14.443,12
17,11,Pedro de la Rosa,Jaguar Cosworth,1:14.464,12
8,12,Felipe Massa,Sauber Petronas,1:14.533,12
16,13,Eddie Irvine,Jaguar Cosworth,1:14.537,10
9,14,Giancarlo Fisichella,Jordan Honda,1:14.748,12
11,15,Jacques Villeneuve,BAR Honda,1:14.760,12
25,16,Allan McNish,Toyota,1:14.990,12
12,17,Olivier Panis,BAR Honda,1:14.996,11
20,18,Heinz-Harald Frentzen,Arrows Cosworth,1:15.112,12
10,19,Takuma Sato,Jordan Honda,1:15.296,10
23,20,Mark Webber,Minardi Asiatech,1:15.340,12
21,21,Enrique Bernoldi,Arrows Cosworth,1:15.355,12
22,22,Alex Yoong,Minardi Asiatech,1:16.728,12
