,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Juan Pablo Montoya,Williams BMW,60,1:16.079,203.898
5,2,Ralf Schumacher,Williams BMW,55,1:16.224,203.510
1,3,Michael Schumacher,Ferrari,38,1:16.235,203.481
15,4,Jenson Button,Renault,70,1:16.396,203.052
2,5,Rubens Barrichello,Ferrari,16,1:16.511,202.747
4,6,Kimi Räikkönen,McLaren Mercedes,54,1:16.529,202.699
3,7,David Coulthard,McLaren Mercedes,71,1:16.670,202.326
14,8,Jarno Trulli,Renault,45,1:17.063,201.295
11,9,Jacques Villeneuve,BAR Honda,26,1:17.131,201.117
10,10,Takuma Sato,Jordan Honda,51,1:17.320,200.625
24,11,Mika Salo,Toyota,37,1:17.398,200.423
9,12,Giancarlo Fisichella,Jordan Honda,3,1:17.511,200.131
20,13,Heinz-Harald Frentzen,Arrows Cosworth,14,1:17.568,199.984
16,14,Eddie Irvine,Jaguar Cosworth,60,1:17.569,199.981
17,15,Pedro de la Rosa,Jaguar Cosworth,70,1:17.575,199.966
7,16,Nick Heidfeld,Sauber Petronas,59,1:17.782,199.434
25,17,Allan McNish,Toyota,26,1:17.868,199.214
23,18,Mark Webber,Minardi Asiatech,62,1:18.386,197.897
12,19,Olivier Panis,BAR Honda,23,1:18.705,197.095
21,20,Enrique Bernoldi,Arrows Cosworth,14,1:18.814,196.822
22,21,Alex Yoong,Minardi Asiatech,54,1:18.837,196.765
8,22,Felipe Massa,Sauber Petronas,11,1:19.188,195.893
