,Position,Driver,Car,Time,Laps
2,1,Nigel Mansell,Williams Renault,1:16.179,23
5,2,Michael Schumacher,Benetton Ford,1:16.197,21
0,3,Damon Hill,Williams Renault,1:16.830,24
7,4,Mika Hakkinen,McLaren Peugeot,1:16.992,21
14,5,Rubens Barrichello,Jordan Hart,1:17.537,16
15,6,Eddie Irvine,Jordan Hart,1:17.667,11
6,7,Johnny Herbert,Benetton Ford,1:17.727,21
27,8,Jean Alesi,Ferrari,1:17.801,20
8,9,Martin Brundle,McLaren Peugeot,1:17.950,22
30,10,Heinz-Harald Frentzen,Sauber Mercedes,1:17.962,23
28,11,Gerhard Berger,Ferrari,1:18.070,22
26,12,Olivier Panis,Ligier Renault,1:18.072,24
4,13,Mark Blundell,Tyrrell Yamaha,1:18.237,24
12,14,Alessandro Zanardi,Lotus Mugen Honda,1:18.331,24
3,15,Ukyo Katayama,Tyrrell Yamaha,1:18.411,20
24,16,Michele Alboreto,Minardi Ford,1:18.755,24
29,17,Jyrki Jarvilehto,Sauber Mercedes,1:18.806,23
23,18,Pierluigi Martini,Minardi Ford,1:18.957,24
9,19,Christian Fittipaldi,Footwork Ford,1:19.061,23
25,20,Franck Lagorce,Ligier Renault,1:19.153,23
10,21,Gianni Morbidelli,Footwork Ford,1:19.610,24
11,22,Mika Salo,Lotus Mugen Honda,1:19.844,20
19,23,Hideki Noda,Larrousse Ford,1:20.145,15
31,24,David Brabham,Simtek Ford,1:20.442,11
20,25,Jean-Denis Deletraz,Larrousse Ford,1:22.422,17
32,26,Domenico Schiattarella,Simtek Ford,1:22.529,7
33,27,Paul Belmondo,Pacific Ilmor,1:24.087,12
34,28,Bertrand Gachot,Pacific Ilmor,7:40.317,2
