,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:31.041,1:29.555,1:28.769,12
44,2,Lewis Hamilton,Mercedes,1:30.814,1:29.535,1:28.792,13
5,3,Sebastian Vettel,Ferrari,1:31.037,1:29.596,1:29.247,12
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:31.667,1:30.497,1:29.545,12
7,5,Kimi Räikkönen,Ferrari,1:30.988,1:29.843,1:29.567,16
33,6,Max Verstappen,Red Bull Racing TAG Heuer,1:30.904,1:30.307,1:29.687,12
27,7,Nico Hulkenberg,Renault,1:31.057,1:30.169,1:29.842,15
19,8,Felipe Massa,Williams Mercedes,1:31.373,1:30.677,1:30.074,12
8,9,Romain Grosjean,Haas Ferrari,1:31.691,1:30.857,1:30.763,16
30,10,Jolyon Palmer,Renault,1:31.458,1:30.899,1:31.074,15
26,11,Daniil Kvyat,Toro Rosso,1:31.531,1:30.923,,12
18,12,Lance Stroll,Williams Mercedes,1:31.748,1:31.168,,12
94,13,Pascal Wehrlein,Sauber Ferrari,1:31.995,1:31.414,,15
31,14,Esteban Ocon,Force India Mercedes,1:31.774,1:31.684,,12
14,15,Fernando Alonso,McLaren Honda,1:32.054,DNF,,8
55,16,Carlos Sainz,Toro Rosso,1:32.118,,,5
2,17,Stoffel Vandoorne,McLaren Honda,1:32.313,,,8
11,18,Sergio Perez,Force India Mercedes,1:32.318,,,7
9,19,Marcus Ericsson,Sauber Ferrari,1:32.543,,,9
20,20,Kevin Magnussen,Haas Ferrari,1:32.900,,,8
