,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,46,1:32.798,209.952,19:20:27
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,42,1:33.495,208.387,19:14:32
7,3,Kimi Räikkönen,Ferrari,55,1:33.720,207.887,19:34:46
5,4,Sebastian Vettel,Ferrari,36,1:33.826,207.652,19:04:30
77,5,Valtteri Bottas,Mercedes,33,1:34.087,207.076,18:59:54
19,6,Felipe Massa,Williams Mercedes,39,1:34.256,206.705,19:09:52
11,7,Sergio Perez,Force India Mercedes,39,1:34.609,205.933,19:09:55
8,8,Romain Grosjean,Haas Ferrari,33,1:34.948,205.198,19:00:25
26,9,Daniil Kvyat,Toro Rosso,45,1:34.985,205.118,19:20:04
9,10,Marcus Ericsson,Sauber Ferrari,35,1:35.086,204.900,19:04:07
31,11,Esteban Ocon,Force India Mercedes,39,1:35.179,204.700,19:10:11
27,12,Nico Hulkenberg,Renault,40,1:35.372,204.286,19:11:46
30,13,Jolyon Palmer,Renault,43,1:35.552,203.901,19:16:57
14,14,Fernando Alonso,McLaren Honda,47,1:35.595,203.809,19:23:13
18,15,Lance Stroll,Williams Mercedes,10,1:36.303,202.311,18:20:34
33,16,Max Verstappen,Red Bull Racing TAG Heuer,4,1:36.681,201.520,18:10:10
94,17,Pascal Wehrlein,Sauber Ferrari,43,1:36.786,201.301,19:16:40
55,18,Carlos Sainz,Toro Rosso,8,1:38.026,198.755,18:16:52
20,19,Kevin Magnussen,Haas Ferrari,6,1:38.718,197.362,18:13:42
