,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,53,1:24.513
20,2,Nelson Piquet,Benetton Ford,44,1:25.095
1,3,Alain Prost,Ferrari,53,1:25.177
25,4,Nicola Larini,Ligier Ford,62,1:26.104
28,5,Gerhard Berger,McLaren Honda,49,1:26.250
11,6,Derek Warwick,Lotus Lamborghini,59,1:26.252
19,7,Alessandro Nannini,Benetton Ford,48,1:26.599
15,8,Mauricio Gugelmin,Leyton House Judd,37,1:26.773
2,9,Nigel Mansell,Ferrari,23,1:26.957
30,10,Aguri Suzuki,Lola Lamborghini,36,1:27.158
5,11,Thierry Boutsen,Williams Renault,41,1:27.206
27,12,Ayrton Senna,McLaren Honda,28,1:27.430
18,13,Yannick Dalmas,AGS Ford,45,1:27.710
23,14,Pierluigi Martini,Minardi Ford,26,1:28.314
16,15,Ivan Capelli,Leyton House Judd,30,1:28.436
22,16,Andrea de Cesaris,Dallara Ford,29,1:28.471
9,17,Michele Alboreto,Arrows Ford,65,1:28.712
29,18,Eric Bernard,Lola Lamborghini,8,1:29.296
26,19,Philippe Alliot,Ligier Ford,6,1:29.329
14,20,Olivier Grouillard,Osella Ford,30,1:29.692
3,21,Satoru Nakajima,Tyrrell Ford,5,1:30.347
17,22,Gabriele Tarquini,AGS Ford,4,1:31.062
8,23,Stefano Modena,Brabham Judd,4,1:31.467
