,Position,Driver,Car,Time
18,1,Yannick Dalmas,AGS Ford,1:22.470
27,1,Ayrton Senna,McLaren Honda,1:18.387
17,2,Gabriele Tarquini,AGS Ford,1:22.592
1,2,Alain Prost,Ferrari,1:18.824
14,3,Olivier Grouillard,Osella Ford,1:22.708
2,3,Nigel Mansell,Ferrari,1:19.106
4,4,Jean Alesi,Tyrrell Ford,1:19.604
31,4,Bertrand Gachot,Coloni Ford,1:24.603
28,5,Gerhard Berger,McLaren Honda,1:19.618
33,5,Roberto Moreno,Euro Brun Judd,1:24.621
6,6,Riccardo Patrese,Williams Renault,1:19.647
34,6,Claudio Langes,Euro Brun Judd,1:25.736
39,7,Bruno Giacomelli,Life Judd,1:42.699
5,7,Thierry Boutsen,Williams Renault,1:19.689
20,8,Nelson Piquet,Benetton Ford,1:19.700
19,9,Alessandro Nannini,Benetton Ford,1:20.367
11,10,Derek Warwick,Lotus Lamborghini,1:20.610
23,11,Pierluigi Martini,Minardi Ford,1:21.060
15,12,Mauricio Gugelmin,Leyton House Judd,1:21.167
26,13,Philippe Alliot,Ligier Ford,1:21.170
3,14,Satoru Nakajima,Tyrrell Ford,1:21.215
30,15,Aguri Suzuki,Lola Lamborghini,1:21.244
21,16,Emanuele Pirro,Dallara Ford,1:21.277
22,17,Andrea de Cesaris,Dallara Ford,1:21.467
29,18,Eric Bernard,Lola Lamborghini,1:21.551
16,19,Ivan Capelli,Leyton House Judd,1:21.910
25,20,Nicola Larini,Ligier Ford,1:21.996
12,23,Martin Donnelly,Lotus Lamborghini,1:22.659
8,25,Stefano Modena,Brabham Judd,1:23.133
9,26,Michele Alboreto,Arrows Ford,1:23.161
7,27,David Brabham,Brabham Judd,1:23.163
24,28,Paolo Barilla,Minardi Ford,1:23.274
10,29,Bernd Schneider,Arrows Ford,1:23.924
