,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,McLaren Honda,1:20.094
27,2,Ayrton Senna,McLaren Honda,+0.482s
1,3,Alain Prost,Ferrari,+0.486s
4,4,Jean Alesi,Tyrrell Ford,+0.719s
30,5,Aguri Suzuki,Lola Lamborghini,+1.354s
20,6,Nelson Piquet,Benetton Ford,+1.564s
6,7,Riccardo Patrese,Williams Renault,+1.628s
2,8,Nigel Mansell,Ferrari,+1.754s
5,9,Thierry Boutsen,Williams Renault,+1.895s
12,10,Martin Donnelly,Lotus Lamborghini,+2.279s
11,11,Derek Warwick,Lotus Lamborghini,+2.400s
19,12,Alessandro Nannini,Benetton Ford,+2.437s
26,13,Philippe Alliot,Ligier Ford,+2.510s
8,14,Stefano Modena,Brabham Judd,+2.774s
3,15,Satoru Nakajima,Tyrrell Ford,+2.850s
23,16,Pierluigi Martini,Minardi Ford,+3.266s
29,17,Eric Bernard,Lola Lamborghini,+3.293s
25,18,Nicola Larini,Ligier Ford,+3.614s
24,19,Paolo Barilla,Minardi Ford,+3.660s
16,20,Ivan Capelli,Leyton House Judd,+4.019s
9,21,Michele Alboreto,Arrows Ford,+4.041s
17,22,Gabriele Tarquini,AGS Ford,+4.181s
18,23,Yannick Dalmas,AGS Ford,+4.376s
22,24,Andrea de Cesaris,Dallara Ford,+4.528s
15,25,Mauricio Gugelmin,Leyton House Judd,+5.143s
14,26,Olivier Grouillard,Osella Ford,+5.806s
10,27,Bernd Schneider,Arrows Ford,+5.891s
31,28,Bertrand Gachot,Coloni Ford,+7.252s
21,29,Emanuele Pirro,Dallara Ford,+8.515s
7,30,David Brabham,Brabham Judd,+8.961s
