,Position,Driver,Car,Lap,Time
11,1,Alain Prost,McLaren Honda,4,1:44.836
12,2,Ayrton Senna,McLaren Honda,8,1:44.992
28,3,Gerhard Berger,Ferrari,3,1:45.508
20,4,Thierry Boutsen,Benetton Ford,13,1:45.714
27,5,Michele Alboreto,Ferrari,4,1:45.878
5,6,Nigel Mansell,Williams Judd,4,1:46.044
19,7,Alessandro Nannini,Benetton Ford,6,1:46.125
6,8,Riccardo Patrese,Williams Judd,5,1:46.632
3,9,Jonathan  Palmer,Tyrrell Ford,4,1:46.905
17,10,Derek Warwick,Arrows Megatron,5,1:47.030
1,11,Nelson Piquet,Lotus Honda,4,1:47.137
14,12,Philippe Streiff,AGS Ford,5,1:47.326
22,13,Andrea de Cesaris,Rial Ford,4,1:47.594
18,14,Eddie  Cheever,Arrows Megatron,6,1:47.739
33,15,Stefano Modena,Euro Brun Ford,9,1:48.243
36,16,Alex Caffi,Dallara Ford,8,1:48.951
15,17,Mauricio Gugelmin,March Judd,18,1:49.224
23,18,Pierluigi Martini,Minardi Ford,8,1:49.236
4,19,Julian Bailey,Tyrrell Ford,7,1:49.330
25,20,Rene Arnoux,Ligier Judd,8,1:49.554
32,21,Oscar Larrauri,Euro Brun Ford,17,1:49.782
29,22,Yannick Dalmas,Lola Ford,12,1:49.946
30,23,Philippe Alliot,Lola Ford,37,1:50.223
26,24,Stefan Johansson,Ligier Judd,2,1:50.260
21,25,Nicola Larini,Osella,7,1:50.703
24,26,Luis Perez-Sala,Minardi Ford,45,1:51.855
