,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:41.410
12,2,Ayrton Senna,McLaren Honda,+0.797s
20,3,Thierry Boutsen,Benetton Ford,+2.419s
5,4,Nigel Mansell,Williams Judd,+2.493s
28,5,Gerhard Berger,Ferrari,+3.168s
27,6,Michele Alboreto,Ferrari,+3.373s
6,7,Riccardo Patrese,Williams Judd,+4.063s
14,8,Philippe Streiff,AGS Ford,+4.333s
30,9,Philippe Alliot,Lola Ford,+4.587s
23,10,Pierluigi Martini,Minardi Ford,+4.592s
19,11,Alessandro Nannini,Benetton Ford,+4.641s
36,12,Alex Caffi,Dallara Ford,+4.870s
33,13,Stefano Modena,Euro Brun Ford,+5.112s
25,14,Rene Arnoux,Ligier Judd,+5.200s
32,15,Oscar Larrauri,Euro Brun Ford,+5.240s
22,16,Andrea de Cesaris,Rial Ford,+5.299s
26,17,Stefan Johansson,Ligier Judd,+5.330s
18,18,Eddie  Cheever,Arrows Megatron,+5.414s
29,19,Yannick Dalmas,Lola Ford,+5.480s
1,20,Nelson Piquet,Lotus Honda,+5.530s
15,21,Mauricio Gugelmin,March Judd,+5.607s
24,22,Luis Perez-Sala,Minardi Ford,+5.711s
31,23,Gabriele Tarquini,Coloni Ford,+5.902s
2,24,Satoru Nakajima,Lotus Honda,+6.076s
21,25,Nicola Larini,Osella,+6.292s
4,26,Julian Bailey,Tyrrell Ford,+6.818s
3,27,Jonathan  Palmer,Tyrrell Ford,+6.866s
16,28,Ivan Capelli,March Judd,+7.628s
17,29,Derek Warwick,Arrows Megatron,+8.573s
10,30,Bernd Schneider,Zakspeed,+14.006s
9,31,Piercarlo Ghinzani,Zakspeed,+537.913s
