,Position,Driver,Car,Laps,Time,Points
12,1,Ayrton Senna,McLaren Honda,63,1:54:56.035,9
11,2,Alain Prost,McLaren Honda,63,+38.713s,6
20,3,Thierry Boutsen,Benetton Ford,62,+1 lap,4
22,4,Andrea de Cesaris,Rial Ford,62,+1 lap,3
3,5,Jonathan  Palmer,Tyrrell Ford,62,+1 lap,2
23,6,Pierluigi Martini,Minardi Ford,62,+1 lap,1
29,7,Yannick Dalmas,Lola Ford,61,+2 laps,0
36,8,Alex Caffi,Dallara Ford,61,+2 laps,0
4,9,Julian Bailey,Tyrrell Ford,59,DNF,0
24,NC,Luis Perez-Sala,Minardi Ford,54,DNF,0
30,NC,Philippe Alliot,Lola Ford,46,DNF,0
33,NC,Stefano Modena,Euro Brun Ford,46,DNF,0
27,NC,Michele Alboreto,Ferrari,45,DNF,0
25,NC,Rene Arnoux,Ligier Judd,45,DNF,0
15,NC,Mauricio Gugelmin,March Judd,34,DNF,0
6,NC,Riccardo Patrese,Williams Judd,26,DNF,0
1,NC,Nelson Piquet,Lotus Honda,26,DNF,0
32,NC,Oscar Larrauri,Euro Brun Ford,26,DNF,0
17,NC,Derek Warwick,Arrows Megatron,24,DNF,0
5,NC,Nigel Mansell,Williams Judd,18,DNF,0
14,NC,Philippe Streiff,AGS Ford,15,DNF,0
19,NC,Alessandro Nannini,Benetton Ford,14,DNF,0
18,NC,Eddie  Cheever,Arrows Megatron,14,DNF,0
21,NC,Nicola Larini,Osella,7,DNF,0
28,NC,Gerhard Berger,Ferrari,6,DNF,0
26,NC,Stefan Johansson,Ligier Judd,2,DNF,0
