,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:40.177
11,2,Alain Prost,McLaren Honda,+0.137s
5,3,Nigel Mansell,Williams Judd,+0.412s
20,4,Thierry Boutsen,Benetton Ford,+0.502s
27,5,Michele Alboreto,Ferrari,+0.949s
28,6,Gerhard Berger,Ferrari,+1.647s
6,7,Riccardo Patrese,Williams Judd,+1.958s
15,8,Mauricio Gugelmin,March Judd,+2.029s
14,9,Philippe Streiff,AGS Ford,+2.201s
17,10,Derek Warwick,Arrows Megatron,+2.334s
18,11,Eddie  Cheever,Arrows Megatron,+2.343s
30,12,Philippe Alliot,Lola Ford,+2.472s
29,13,Yannick Dalmas,Lola Ford,+2.784s
3,14,Jonathan  Palmer,Tyrrell Ford,+2.888s
1,15,Nelson Piquet,Lotus Honda,+3.131s
16,16,Ivan Capelli,March Judd,+3.152s
19,17,Alessandro Nannini,Benetton Ford,+3.225s
22,18,Andrea de Cesaris,Rial Ford,+3.349s
25,19,Rene Arnoux,Ligier Judd,+3.443s
36,20,Alex Caffi,Dallara Ford,+3.570s
26,21,Stefan Johansson,Ligier Judd,+3.736s
4,22,Julian Bailey,Tyrrell Ford,+3.945s
21,23,Nicola Larini,Osella,+3.986s
23,24,Pierluigi Martini,Minardi Ford,+4.300s
32,25,Oscar Larrauri,Euro Brun Ford,+4.765s
9,26,Piercarlo Ghinzani,Zakspeed,+4.840s
10,27,Bernd Schneider,Zakspeed,+5.467s
2,28,Satoru Nakajima,Lotus Honda,+5.541s
24,29,Luis Perez-Sala,Minardi Ford,+5.733s
33,30,Stefano Modena,Euro Brun Ford,+10.927s
