,Position,Driver,Car,Q1,Q2,Q3,Laps
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:15.866,1:15.845,1:14.759,16
33,2,Max Verstappen,Red Bull Racing TAG Heuer,1:15.756,1:15.640,1:14.785,16
44,3,Lewis Hamilton,Mercedes,1:15.673,1:15.644,1:14.894,21
5,4,Sebastian Vettel,Ferrari,1:16.089,1:15.715,1:14.970,16
77,5,Valtteri Bottas,Mercedes,1:15.580,1:15.923,1:15.160,22
7,6,Kimi Räikkönen,Ferrari,1:16.446,1:15.996,1:15.330,20
27,7,Nico Hulkenberg,Renault,1:16.498,1:16.126,1:15.827,18
55,8,Carlos Sainz,Renault,1:16.813,1:16.188,1:16.084,18
16,9,Charles Leclerc,Sauber Ferrari,1:16.862,1:16.320,1:16.189,20
9,10,Marcus Ericsson,Sauber Ferrari,1:16.701,1:16.633,1:16.513,20
31,11,Esteban Ocon,Force India Mercedes,1:16.252,1:16.844,,16
14,12,Fernando Alonso,McLaren Renault,1:16.857,1:16.871,,12
11,13,Sergio Perez,Force India Mercedes,1:16.242,1:17.167,,16
28,14,Brendon Hartley,Scuderia Toro Rosso Honda,1:16.682,1:17.184,,12
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,1:16.828,DNS,,11
8,16,Romain Grosjean,Haas Ferrari,1:16.911,,,9
2,17,Stoffel Vandoorne,McLaren Renault,1:16.966,,,6
20,18,Kevin Magnussen,Haas Ferrari,1:17.599,,,9
18,19,Lance Stroll,Williams Mercedes,1:17.689,,,5
35,20,Sergey Sirotkin,Williams Mercedes,1:17.886,,,6
