,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
55,1,Carlos Sainz,Ferrari,63,1:15.749,207.258,15:30:43
1,2,Max Verstappen,Red Bull Racing RBPT,64,1:15.839,207.012,15:31:59
16,3,Charles Leclerc,Ferrari,62,1:15.901,206.843,15:29:37
44,4,Lewis Hamilton,Mercedes,69,1:16.167,206.120,15:38:25
63,5,George Russell,Mercedes,63,1:16.418,205.443,15:30:51
24,6,Guanyu Zhou,Alfa Romeo Ferrari,63,1:16.578,205.014,15:30:59
77,7,Valtteri Bottas,Alfa Romeo Ferrari,60,1:16.927,204.084,15:27:06
14,8,Fernando Alonso,Alpine Renault,64,1:17.010,203.864,15:32:15
31,9,Esteban Ocon,Alpine Renault,62,1:17.110,203.600,15:29:40
18,10,Lance Stroll,Aston Martin Aramco Mercedes,64,1:17.421,202.782,15:32:25
4,11,Lando Norris,McLaren Mercedes,63,1:17.495,202.588,15:31:13
10,12,Pierre Gasly,AlphaTauri RBPT,60,1:17.810,201.768,15:27:17
3,13,Daniel Ricciardo,McLaren Mercedes,59,1:17.932,201.452,15:25:55
23,14,Alexander Albon,Williams Mercedes,59,1:17.951,201.403,15:25:59
5,15,Sebastian Vettel,Aston Martin Aramco Mercedes,63,1:17.956,201.390,15:31:10
20,16,Kevin Magnussen,Haas Ferrari,11,1:18.046,201.158,14:19:19
22,17,Yuki Tsunoda,AlphaTauri RBPT,15,1:18.309,200.482,14:24:22
6,18,Nicholas Latifi,Williams Mercedes,61,1:18.540,199.893,15:28:42
11,19,Sergio Perez,Red Bull Racing RBPT,7,1:18.844,199.122,14:12:43
47,20,Mick Schumacher,Haas Ferrari,13,1:18.967,198.812,14:21:28
