,Position,Driver,Car,Time
10,1,Ronnie Peterson,March Ford,1:21.310
11,2,James Hunt,McLaren Ford,1:21.390
16,3,Tom Pryce,Shadow Ford,1:21.550
28,4,John Watson,Penske Ford,1:21.620
2,5,Clay Regazzoni,Ferrari,1:21.850
5,6,Mario Andretti,Lotus Ford,1:21.880
9,7,Vittorio Brambilla,March Ford,1:21.880
3,8,Jody Scheckter,Tyrrell Ford,1:21.910
8,9,Carlos Pace,Brabham Alfa Romeo,1:22.030
26,10,Jacques Laffite,Ligier Matra,1:22.060
22,11,Jacky Ickx,Ensign Ford,1:22.130
7,12,Carlos Reutemann,Brabham Alfa Romeo,1:22.160
6,13,Gunnar Nilsson,Lotus Ford,1:22.160
4,14,Patrick Depailler,Tyrrell Ford,1:22.270
12,15,Jochen Mass,McLaren Ford,1:22.480
19,16,Alan  Jones,Surtees Ford,1:22.510
30,17,Emerson Fittipaldi,Fittipaldi Ford,1:22.550
34,18,Hans-Joachim Stuck,March Ford,1:22.590
37,19,Larry Perkins,Boro Ford,1:23.100
17,20,Jean-Pierre Jarier,Shadow Ford,1:23.180
39,21,Boy Hayje,Penske Ford,1:23.260
38,22,Henri Pescarolo,Surtees Ford,1:23.550
20,23,Arturo Merzario,Wolf-Williams,1:24.090
24,24,Harald Ertl,Hesketh Ford,1:24.370
25,25,Rolf Stommelen,Hesketh Ford,1:24.710
18,26,Conny Andersson,Surtees Ford,1:24.740
